Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,2021.0,8,8,100,0,100,0.0,930.0,915.0,762.0,1211.0,3593.0
1,100,2073.0,10,16,90,9,90,0.0,930.0,915.0,686.0,1134.0,3421.0
2,200,2034.0,0,0,91,16,91,0.0,930.0,915.0,534.0,1096.0,3231.0
3,300,1996.0,16,0,100,0,100,0.0,930.0,915.0,457.0,1076.0,3134.0
4,400,1995.0,0,30,63,0,63,0.0,930.0,915.0,381.0,1057.0,3058.0
5,500,2001.0,16,40,0,63,63,2.0,930.0,992.0,381.0,1019.0,3097.0
6,600,1995.0,0,0,9,100,100,0.0,930.0,992.0,305.0,1000.0,3002.0
7,700,1995.0,18,8,0,100,100,1.0,930.0,992.0,305.0,980.0,2982.0
8,800,2071.0,8,100,9,16,100,0.0,930.0,1068.0,305.0,961.0,3039.0
9,900,2035.0,9,40,0,40,40,5.0,930.0,1068.0,305.0,961.0,3020.0
10,1000,1962.0,9,90,18,18,90,9.0,930.0,1068.0,305.0,961.0,3020.0
11,1100,2031.0,0,90,16,9,90,3.0,930.0,1068.0,305.0,942.0,3020.0
12,1200,2036.0,10,100,16,18,100,7.0,930.0,1068.0,305.0,961.0,3020.0
13,1300,2036.0,9,100,10,0,100,8.0,930.0,1068.0,305.0,942.0,3001.0
14,1400,1992.0,0,100,9,8,100,8.0,930.0,1068.0,305.0,942.0,3001.0
15,1500,1996.0,9,100,18,9,100,2.0,930.0,1144.0,305.0,942.0,3077.0
16,1600,2035.0,25,100,0,16,100,3.0,930.0,1144.0,305.0,1000.0,3135.0
17,1700,1993.0,0,100,0,0,100,2.0,930.0,1144.0,305.0,980.0,3115.0
18,1800,1993.0,0,91,9,8,91,4.0,930.0,1144.0,305.0,980.0,3115.0
19,1900,1999.0,9,100,9,0,100,3.0,930.0,1068.0,305.0,980.0,3039.0
20,2000,1991.0,8,100,0,0,100,1.0,930.0,1068.0,228.0,961.0,2943.0
21,2100,1991.0,9,72,0,0,72,88.0,930.0,1068.0,534.0,1057.0,3345.0
22,2200,498.0,0,54,0,0,54,98.0,930.0,991.0,915.0,1211.0,3803.0
23,2300,345.0,9,58,8,7,58,50.0,930.0,915.0,1143.0,1307.0,4127.0
24,2400,2073.0,9,70,0,0,70,7.0,930.0,915.0,1220.0,1365.0,4262.0
