RAM 2109/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1863,off,off,90%@1875,0%@1878,0%@1880] EMC_FREQ 9%@1600 GR3D_FREQ 1%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.6C Tdiode@50.5C VDD_SYS_GPU 305/648 VDD_SYS_SOC 686/692 VDD_4V0_WIFI 0/0 VDD_IN 3510/3983 VDD_SYS_CPU 915/864 VDD_SYS_DDR 961/1058
RAM 2121/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1873,off,off,100%@1876,0%@1877,9%@1880] EMC_FREQ 8%@1600 GR3D_FREQ 1%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.6C Tdiode@50.5C VDD_SYS_GPU 305/621 VDD_SYS_SOC 686/691 VDD_4V0_WIFI 96/7 VDD_IN 3548/3950 VDD_SYS_CPU 915/868 VDD_SYS_DDR 942/1049
RAM 2137/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [20%@1878,off,off,100%@1888,18%@1876,16%@1878] EMC_FREQ 8%@1600 GR3D_FREQ 3%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.6C Tdiode@50.25C VDD_SYS_GPU 305/599 VDD_SYS_SOC 686/691 VDD_4V0_WIFI 230/23 VDD_IN 3777/3937 VDD_SYS_CPU 915/871 VDD_SYS_DDR 961/1043
RAM 2146/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1818,off,off,100%@1823,0%@1825,0%@1827] EMC_FREQ 8%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@50.5C BCPU@51.5C thermal@51.4C Tdiode@50.25C VDD_SYS_GPU 228/574 VDD_SYS_SOC 686/691 VDD_4V0_WIFI 230/37 VDD_IN 3739/3924 VDD_SYS_CPU 915/874 VDD_SYS_DDR 942/1036
RAM 2152/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1867,off,off,100%@1877,0%@1879,8%@1882] EMC_FREQ 7%@1600 GR3D_FREQ 5%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.4C Tdiode@50.25C VDD_SYS_GPU 228/552 VDD_SYS_SOC 686/690 VDD_4V0_WIFI 192/46 VDD_IN 3663/3908 VDD_SYS_CPU 915/877 VDD_SYS_DDR 942/1030
RAM 2159/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@1878,off,off,100%@1877,16%@1883,9%@1885] EMC_FREQ 7%@1600 GR3D_FREQ 8%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.4C Tdiode@50.25C VDD_SYS_GPU 228/533 VDD_SYS_SOC 686/690 VDD_4V0_WIFI 134/51 VDD_IN 3701/3895 VDD_SYS_CPU 915/879 VDD_SYS_DDR 961/1026
RAM 2184/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1802,off,off,91%@1805,9%@1805,0%@1804] EMC_FREQ 7%@1600 GR3D_FREQ 2%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@50C BCPU@51.5C thermal@51.4C Tdiode@50.25C VDD_SYS_GPU 228/516 VDD_SYS_SOC 686/690 VDD_4V0_WIFI 115/55 VDD_IN 3739/3887 VDD_SYS_CPU 992/885 VDD_SYS_DDR 1000/1025
RAM 2210/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1804,off,off,100%@1804,9%@1804,0%@1802] EMC_FREQ 7%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50C BCPU@52C thermal@51.4C Tdiode@50C VDD_SYS_GPU 228/501 VDD_SYS_SOC 686/690 VDD_4V0_WIFI 96/57 VDD_IN 3663/3875 VDD_SYS_CPU 992/891 VDD_SYS_DDR 1000/1023
RAM 2241/7850MB (lfb 561x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1828,off,off,100%@1827,0%@1829,0%@1827] EMC_FREQ 6%@1600 GR3D_FREQ 4%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@50C BCPU@51.5C thermal@51.4C Tdiode@50C VDD_SYS_GPU 228/487 VDD_SYS_SOC 686/689 VDD_4V0_WIFI 76/58 VDD_IN 3587/3860 VDD_SYS_CPU 915/892 VDD_SYS_DDR 980/1021
RAM 2275/7850MB (lfb 560x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1874,off,off,100%@1878,9%@1882,8%@1886] EMC_FREQ 6%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50C BCPU@52C thermal@51.4C Tdiode@50C VDD_SYS_GPU 228/475 VDD_SYS_SOC 686/689 VDD_4V0_WIFI 57/58 VDD_IN 3548/3846 VDD_SYS_CPU 915/893 VDD_SYS_DDR 980/1019
