Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
66,6600,1740.0,54,0,0,0,54,44.0,726.0,610.0,1448.0,1596.0,4589.0
67,6700,1698.0,60,8,15,0,60,99.0,726.0,610.0,1448.0,1596.0,4568.0
68,6800,1745.0,50,0,9,0,50,74.0,726.0,610.0,1525.0,1615.0,4646.0
69,6900,1732.0,63,0,8,0,63,0.0,726.0,610.0,1448.0,1577.0,4512.0
70,7000,1751.0,45,0,0,0,45,99.0,726.0,610.0,1525.0,1634.0,4646.0
71,7100,1727.0,70,9,8,0,70,0.0,726.0,610.0,1448.0,1577.0,4512.0
72,7200,1683.0,45,8,0,0,45,99.0,726.0,610.0,1525.0,1615.0,4608.0
73,7300,1738.0,60,0,0,9,60,33.0,726.0,610.0,1448.0,1596.0,4512.0
74,7400,1688.0,58,0,0,8,58,99.0,726.0,534.0,1525.0,1596.0,4513.0
75,7500,1743.0,54,8,8,0,54,38.0,726.0,610.0,1448.0,1596.0,4512.0
76,7600,1698.0,54,0,0,0,54,88.0,726.0,610.0,1525.0,1577.0,4570.0
77,7700,1748.0,60,0,8,0,60,44.0,726.0,610.0,1448.0,1577.0,4493.0
78,7800,1698.0,58,9,9,8,58,99.0,726.0,610.0,1448.0,1596.0,4512.0
79,7900,1741.0,54,0,8,0,54,88.0,726.0,534.0,1525.0,1615.0,4532.0
80,8000,1730.0,66,9,0,8,66,0.0,726.0,610.0,1448.0,1577.0,4493.0
81,8100,1745.0,50,0,9,0,50,99.0,726.0,610.0,1525.0,1615.0,4608.0
82,8200,1693.0,69,0,0,8,69,0.0,726.0,610.0,1448.0,1577.0,4416.0
83,8300,1729.0,40,8,0,9,40,99.0,726.0,610.0,1525.0,1615.0,4608.0
84,8400,1749.0,70,0,0,0,70,0.0,726.0,610.0,1448.0,1596.0,4512.0
85,8500,1687.0,45,0,0,9,45,99.0,726.0,610.0,1525.0,1615.0,4608.0
86,8600,1742.0,54,0,0,0,54,46.0,726.0,610.0,1448.0,1596.0,4512.0
87,8700,1735.0,63,0,9,8,63,78.0,726.0,610.0,1525.0,1596.0,4589.0
88,8800,1733.0,54,0,0,0,54,68.0,726.0,534.0,1448.0,1596.0,4436.0
89,8900,1727.0,36,27,0,0,36,68.0,726.0,610.0,1448.0,1577.0,4607.0
90,9000,1750.0,0,50,0,9,50,83.0,726.0,534.0,1525.0,1615.0,4781.0
91,9100,1726.0,9,66,0,8,66,0.0,726.0,610.0,1448.0,1577.0,4684.0
92,9200,1686.0,0,45,0,0,45,99.0,726.0,610.0,1525.0,1615.0,4761.0
93,9300,1691.0,36,9,0,36,36,0.0,726.0,610.0,1448.0,1577.0,4608.0
94,9400,1682.0,50,0,0,0,50,99.0,726.0,610.0,1525.0,1596.0,4665.0
95,9500,1728.0,70,9,8,0,70,0.0,726.0,610.0,1448.0,1577.0,4550.0
96,9600,1684.0,40,0,8,0,40,99.0,726.0,534.0,1525.0,1596.0,4550.0
97,9700,1746.0,63,0,0,0,63,8.0,726.0,610.0,1448.0,1577.0,4531.0
98,9800,1688.0,54,0,0,0,54,99.0,726.0,610.0,1525.0,1577.0,4703.0
99,9900,1755.0,58,8,9,0,58,5.0,726.0,610.0,1448.0,1577.0,4742.0
100,10000,1732.0,55,0,0,0,55,21.0,726.0,610.0,1448.0,1577.0,4838.0
101,10100,1743.0,54,0,9,0,54,23.0,726.0,610.0,1448.0,1577.0,4915.0
102,10200,1728.0,58,0,0,0,58,16.0,726.0,610.0,1448.0,1577.0,4973.0
103,10300,1749.0,44,0,0,0,44,70.0,726.0,610.0,1525.0,1615.0,5126.0
104,10400,1689.0,36,30,0,0,36,0.0,726.0,610.0,1448.0,1557.0,5029.0
105,10500,1680.0,16,36,0,9,36,99.0,726.0,534.0,1525.0,1615.0,5050.0
106,10600,1742.0,0,72,0,0,72,0.0,726.0,610.0,1448.0,1577.0,4896.0
107,10700,1679.0,0,45,0,0,45,99.0,726.0,534.0,1525.0,1596.0,4819.0
108,10800,1749.0,0,63,0,0,63,16.0,726.0,610.0,1448.0,1596.0,4742.0
109,10900,1688.0,16,50,0,0,50,11.0,726.0,610.0,1448.0,1577.0,4665.0
110,11000,1743.0,0,54,0,0,54,42.0,726.0,610.0,1448.0,1577.0,4626.0
111,11100,1728.0,8,63,0,0,63,0.0,726.0,610.0,1448.0,1577.0,4588.0
112,11200,1744.0,0,40,0,0,40,99.0,726.0,610.0,1525.0,1615.0,4684.0
113,11300,1728.0,36,36,0,9,36,0.0,726.0,610.0,1448.0,1577.0,4549.0
114,11400,1728.0,9,45,9,8,45,99.0,726.0,610.0,1525.0,1615.0,4645.0
115,11500,1727.0,8,63,0,0,63,0.0,726.0,610.0,1448.0,1596.0,4531.0
116,11600,1678.0,0,50,8,8,50,99.0,726.0,610.0,1525.0,1615.0,4626.0
117,11700,1740.0,0,60,0,0,60,48.0,726.0,610.0,1448.0,1615.0,4550.0
118,11800,1728.0,8,54,9,0,54,88.0,726.0,610.0,1448.0,1596.0,4511.0
119,11900,1753.0,9,61,0,0,61,61.0,726.0,610.0,1525.0,1596.0,4589.0
120,12000,1725.0,0,60,0,0,60,0.0,726.0,610.0,1448.0,1577.0,4493.0
121,12100,1756.0,0,45,0,0,45,78.0,726.0,534.0,1525.0,1596.0,4512.0
122,12200,1728.0,9,72,0,0,72,0.0,726.0,610.0,1448.0,1577.0,4493.0
123,12300,1744.0,9,40,0,0,40,96.0,726.0,534.0,1525.0,1615.0,4531.0
124,12400,1729.0,8,66,8,0,66,0.0,726.0,610.0,1372.0,1577.0,4417.0
125,12500,1673.0,9,45,0,0,45,99.0,726.0,534.0,1525.0,1615.0,4531.0
126,12600,1749.0,0,60,0,0,60,13.0,726.0,610.0,1448.0,1596.0,4493.0
127,12700,1689.0,0,50,0,0,50,99.0,726.0,534.0,1525.0,1596.0,4494.0
128,12800,1728.0,8,58,0,0,58,29.0,726.0,534.0,1448.0,1596.0,4417.0
129,12900,1692.0,9,63,0,8,63,99.0,726.0,534.0,1448.0,1577.0,4398.0
130,13000,1752.0,9,58,0,0,58,35.0,726.0,610.0,1448.0,1596.0,4493.0
131,13100,1689.0,0,54,8,8,54,28.0,726.0,610.0,1448.0,1577.0,4493.0
132,13200,1739.0,0,63,0,0,63,21.0,726.0,610.0,1448.0,1577.0,4493.0
133,13300,1728.0,9,54,8,8,54,11.0,726.0,610.0,1448.0,1577.0,4474.0
134,13400,1682.0,0,58,8,0,58,46.0,726.0,610.0,1448.0,1596.0,4512.0
135,13500,1728.0,9,60,0,0,60,20.0,726.0,610.0,1448.0,1577.0,4493.0
136,13600,1757.0,0,50,0,0,50,27.0,726.0,610.0,1448.0,1577.0,4493.0
137,13700,1728.0,9,63,0,0,63,2.0,726.0,610.0,1448.0,1557.0,4473.0
138,13800,1746.0,0,45,0,0,45,78.0,726.0,610.0,1525.0,1615.0,4608.0
139,13900,1727.0,9,66,0,0,66,0.0,726.0,610.0,1372.0,1577.0,4340.0
140,14000,1679.0,0,40,0,0,40,86.0,726.0,610.0,1525.0,1596.0,4589.0
141,14100,1685.0,9,63,8,8,63,0.0,726.0,610.0,1448.0,1596.0,4512.0
