Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
67,6700,2058.0,58,0,0,0,58,9.0,1300.0,762.0,2971.0,1653.0,6224.0
68,6800,2061.0,0,72,0,0,72,14.0,1300.0,762.0,2971.0,1653.0,6224.0
69,6900,2036.0,66,0,9,8,66,3.0,1300.0,762.0,2971.0,1634.0,6205.0
70,7000,2016.0,20,0,30,0,30,13.0,1300.0,762.0,3123.0,1653.0,6376.0
71,7100,1882.0,50,0,8,0,50,99.0,1300.0,762.0,3276.0,1673.0,6549.0
72,7200,2057.0,20,41,0,0,41,73.0,1300.0,762.0,3200.0,1692.0,6492.0
73,7300,2059.0,50,36,0,0,50,0.0,1300.0,762.0,3123.0,1653.0,6376.0
74,7400,2036.0,36,30,0,0,36,0.0,1300.0,762.0,3047.0,1634.0,6281.0
75,7500,1959.0,40,18,9,0,40,35.0,1300.0,762.0,3200.0,1653.0,6453.0
76,7600,806.0,0,50,0,0,50,99.0,1300.0,762.0,3200.0,1673.0,6473.0
77,7700,499.0,58,0,0,0,58,97.0,1300.0,762.0,3276.0,1692.0,6568.0
78,7800,960.0,36,41,0,9,41,0.0,1300.0,762.0,3200.0,1673.0,6473.0
79,7900,2033.0,30,45,36,9,45,0.0,1300.0,762.0,3047.0,1634.0,6281.0
80,8000,2036.0,33,8,40,0,40,0.0,1300.0,762.0,3123.0,1634.0,6357.0
81,8100,1973.0,54,9,0,0,54,99.0,1300.0,762.0,3200.0,1653.0,6453.0
82,8200,806.0,22,36,0,8,36,99.0,1300.0,762.0,3276.0,1692.0,6587.0
83,8300,499.0,33,27,8,9,33,11.0,1300.0,762.0,3200.0,1692.0,6511.0
84,8400,2064.0,40,30,0,8,40,0.0,1300.0,762.0,3123.0,1653.0,6395.0
85,8500,2036.0,30,16,30,0,30,0.0,1300.0,762.0,3047.0,1653.0,6319.0
86,8600,2030.0,50,27,0,9,50,47.0,1300.0,762.0,3200.0,1653.0,6472.0
87,8700,1957.0,0,54,0,8,54,52.0,1300.0,762.0,3200.0,1673.0,6492.0
88,8800,1420.0,30,20,8,0,30,84.0,1300.0,686.0,3352.0,1692.0,6587.0
89,8900,806.0,36,27,0,0,36,53.0,1300.0,762.0,3276.0,1692.0,6587.0
90,9000,1728.0,66,0,9,9,66,0.0,1300.0,762.0,3200.0,1673.0,6473.0
91,9100,2036.0,58,0,9,0,58,0.0,1300.0,762.0,3123.0,1653.0,6376.0
92,9200,2036.0,60,9,0,9,60,0.0,1300.0,762.0,3200.0,1653.0,6472.0
93,9300,1976.0,27,30,0,0,30,83.0,1300.0,762.0,3276.0,1653.0,6529.0
94,9400,652.0,25,41,9,0,41,89.0,1300.0,686.0,3352.0,1673.0,6549.0
95,9500,2055.0,40,0,27,0,40,0.0,1300.0,762.0,3200.0,1653.0,6453.0
96,9600,2035.0,63,8,0,0,63,0.0,1300.0,762.0,3123.0,1653.0,6376.0
97,9700,2008.0,60,0,0,0,60,61.0,1300.0,762.0,3123.0,1653.0,6376.0
98,9800,1973.0,27,36,0,0,36,68.0,1300.0,762.0,3276.0,1673.0,6549.0
99,9900,1652.0,54,0,0,0,54,81.0,1300.0,762.0,3352.0,1692.0,6644.0
100,10000,1880.0,36,27,0,8,36,52.0,1300.0,762.0,3276.0,1692.0,6568.0
101,10100,2065.0,75,0,9,0,75,39.0,1300.0,762.0,3200.0,1673.0,6473.0
102,10200,2029.0,36,27,8,8,36,0.0,1300.0,762.0,3200.0,1653.0,6453.0
103,10300,2036.0,27,41,0,0,41,0.0,1300.0,762.0,3123.0,1653.0,6376.0
104,10400,2036.0,60,0,0,0,60,74.0,1300.0,762.0,3200.0,1673.0,6473.0
105,10500,1960.0,45,10,0,0,45,77.0,1300.0,762.0,3352.0,1692.0,6644.0
106,10600,1751.0,45,20,9,9,45,67.0,1300.0,762.0,3428.0,1711.0,6739.0
107,10700,2042.0,63,0,0,0,63,36.0,1300.0,762.0,3276.0,1673.0,6549.0
108,10800,2035.0,70,9,9,0,70,0.0,1300.0,838.0,3200.0,1653.0,6529.0
109,10900,2035.0,33,41,0,8,41,0.0,1300.0,762.0,3200.0,1653.0,6453.0
110,11000,1973.0,54,0,8,0,54,99.0,1300.0,762.0,3200.0,1653.0,6453.0
111,11100,1959.0,50,0,9,8,50,99.0,1300.0,762.0,3276.0,1673.0,6549.0
112,11200,1600.0,8,0,27,36,36,99.0,1300.0,762.0,3352.0,1673.0,6625.0
113,11300,2050.0,45,36,0,0,45,12.0,1300.0,762.0,3200.0,1673.0,6473.0
114,11400,2031.0,36,0,30,0,36,0.0,1300.0,762.0,3123.0,1653.0,6376.0
115,11500,2035.0,60,0,9,0,60,18.0,1300.0,762.0,3123.0,1653.0,6376.0
116,11600,2036.0,60,9,0,9,60,45.0,1300.0,762.0,3200.0,1653.0,6453.0
117,11700,2034.0,54,15,10,0,54,99.0,1300.0,762.0,3276.0,1673.0,6549.0
118,11800,2035.0,36,9,33,0,36,88.0,1300.0,762.0,3276.0,1692.0,6568.0
119,11900,2056.0,60,0,0,0,60,3.0,1300.0,762.0,3200.0,1692.0,6492.0
120,12000,2035.0,41,33,0,0,41,0.0,1300.0,762.0,3123.0,1653.0,6376.0
121,12100,2031.0,0,0,61,9,61,15.0,1300.0,762.0,3200.0,1653.0,6453.0
122,12200,2032.0,0,8,60,0,60,13.0,1300.0,762.0,3200.0,1673.0,6492.0
