RAM 2047/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1992,off,off,0%@1994,0%@1996,100%@1992] EMC_FREQ 8%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@48C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 305/495 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3701/3945 VDD_SYS_CPU 1068/1010 VDD_SYS_DDR 942/1036
RAM 2056/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1990,off,off,9%@1994,18%@1994,100%@1993] EMC_FREQ 8%@1600 GR3D_FREQ 11%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@47.5C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/486 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3739/3929 VDD_SYS_CPU 1068/1015 VDD_SYS_DDR 961/1030
RAM 2065/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@2036,off,off,0%@2035,10%@2034,100%@2035] EMC_FREQ 8%@1600 GR3D_FREQ 7%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@48C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/479 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3776/3918 VDD_SYS_CPU 1144/1024 VDD_SYS_DDR 961/1025
RAM 2072/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@2035,off,off,0%@2034,9%@2036,100%@2035] EMC_FREQ 7%@1600 GR3D_FREQ 8%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@47.5C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/472 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3739/3906 VDD_SYS_CPU 1144/1032 VDD_SYS_DDR 942/1020
RAM 2080/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@2023,off,off,9%@2027,10%@2025,100%@2025] EMC_FREQ 7%@1600 GR3D_FREQ 2%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@47.5C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/466 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3777/3898 VDD_SYS_CPU 1144/1039 VDD_SYS_DDR 961/1016
RAM 2102/7850MB (lfb 733x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@2045,off,off,9%@2036,16%@2034,100%@2034] EMC_FREQ 7%@1600 GR3D_FREQ 3%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@48C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/461 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3928/3899 VDD_SYS_CPU 1144/1045 VDD_SYS_DDR 1019/1016
RAM 2137/7850MB (lfb 729x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1995,off,off,0%@1994,9%@1992,100%@1995] EMC_FREQ 7%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@48C BCPU@49.5C thermal@49.2C Tdiode@47.5C VDD_SYS_GPU 381/457 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/1 VDD_IN 3890/3899 VDD_SYS_CPU 1144/1051 VDD_SYS_DDR 1000/1015
RAM 2172/7850MB (lfb 722x4MB) SWAP 0/3925MB (cached 0MB) CPU [22%@2027,off,off,9%@2027,8%@2025,66%@2026] EMC_FREQ 7%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@48C BCPU@49.5C thermal@48.7C Tdiode@47.5C VDD_SYS_GPU 381/453 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/2 VDD_IN 3814/3894 VDD_SYS_CPU 1144/1055 VDD_SYS_DDR 1000/1014
RAM 2201/7850MB (lfb 715x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1989,off,off,16%@1994,0%@1990,100%@1994] EMC_FREQ 6%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@47.5C BCPU@49.5C thermal@48.7C Tdiode@47.5C VDD_SYS_GPU 381/449 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/2 VDD_IN 3814/3890 VDD_SYS_CPU 1144/1060 VDD_SYS_DDR 980/1013
RAM 2224/7850MB (lfb 709x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1990,off,off,8%@1993,0%@1996,100%@1993] EMC_FREQ 6%@1600 GR3D_FREQ 6%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@47.5C BCPU@49.5C thermal@48.7C Tdiode@47.5C VDD_SYS_GPU 305/442 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/3 VDD_IN 3738/3883 VDD_SYS_CPU 1068/1060 VDD_SYS_DDR 980/1011
