Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1867.0,8,8,0,100,100,0.0,1122.0,839.0,1068.0,1250.0,3919.0
1,100,1864.0,9,0,9,100,100,0.0,1122.0,839.0,839.0,1173.0,3537.0
2,200,1878.0,0,9,54,41,54,3.0,1122.0,839.0,762.0,1134.0,3421.0
3,300,1875.0,0,0,100,0,100,0.0,1122.0,839.0,610.0,1096.0,3231.0
4,400,1881.0,0,0,100,0,100,0.0,1122.0,839.0,534.0,1076.0,3135.0
5,500,1832.0,9,54,45,9,54,0.0,1122.0,839.0,457.0,1038.0,3020.0
6,600,1825.0,8,100,9,0,100,2.0,1122.0,839.0,457.0,1019.0,3001.0
7,700,1804.0,0,100,18,0,100,1.0,1122.0,915.0,381.0,980.0,2962.0
8,800,1804.0,0,100,10,0,100,3.0,1122.0,915.0,381.0,961.0,2943.0
9,900,1881.0,0,100,0,0,100,0.0,1122.0,916.0,381.0,961.0,2944.0
10,1000,1870.0,16,90,18,0,90,2.0,1122.0,916.0,381.0,961.0,2963.0
11,1100,1866.0,0,9,100,18,100,1.0,1122.0,916.0,305.0,942.0,2849.0
12,1200,1887.0,0,0,100,0,100,0.0,1122.0,916.0,305.0,923.0,2830.0
13,1300,1867.0,18,25,100,10,100,10.0,1122.0,915.0,381.0,942.0,2924.0
14,1400,1862.0,0,10,100,0,100,0.0,1122.0,915.0,305.0,942.0,2848.0
15,1500,1867.0,9,8,100,0,100,0.0,1122.0,915.0,305.0,923.0,2829.0
16,1600,1892.0,0,18,100,18,100,8.0,1122.0,992.0,381.0,980.0,3039.0
17,1700,1874.0,9,0,100,0,100,3.0,1122.0,992.0,305.0,1000.0,2983.0
18,1800,1804.0,0,0,100,0,100,1.0,1122.0,992.0,305.0,980.0,2963.0
19,1900,1882.0,0,8,90,10,90,2.0,1122.0,915.0,305.0,980.0,2886.0
20,2000,1872.0,0,0,100,0,100,2.0,1122.0,915.0,305.0,961.0,2886.0
21,2100,1871.0,15,0,100,0,100,2.0,1122.0,992.0,305.0,961.0,2963.0
22,2200,1860.0,0,72,0,9,72,76.0,1122.0,915.0,610.0,1057.0,3287.0
23,2300,1896.0,0,70,8,0,70,14.0,1122.0,839.0,991.0,1192.0,3727.0
24,2400,1895.0,16,66,0,0,66,0.0,1122.0,839.0,1296.0,1288.0,4204.0
25,2500,1873.0,8,60,0,0,60,24.0,1122.0,839.0,1601.0,1365.0,4586.0
26,2600,1874.0,9,63,0,8,63,30.0,1122.0,762.0,1830.0,1442.0,4815.0
27,2700,1803.0,0,54,16,9,54,92.0,1122.0,762.0,2058.0,1538.0,5120.0
28,2800,1909.0,9,8,27,30,30,99.0,1122.0,762.0,2210.0,1596.0,5406.0
29,2900,1902.0,8,30,36,0,36,0.0,1122.0,762.0,2210.0,1596.0,5406.0
30,3000,1879.0,0,63,0,0,63,0.0,1122.0,762.0,2210.0,1596.0,5406.0
31,3100,1873.0,9,60,0,0,60,26.0,1122.0,762.0,2286.0,1634.0,5520.0
32,3200,1871.0,8,63,0,8,63,28.0,1122.0,686.0,2362.0,1653.0,5539.0
33,3300,1870.0,9,58,0,0,58,99.0,1122.0,686.0,2439.0,1673.0,5636.0
34,3400,1804.0,30,27,0,0,30,99.0,1122.0,686.0,2515.0,1711.0,5750.0
35,3500,1880.0,9,55,8,0,55,42.0,1122.0,686.0,2515.0,1730.0,5769.0
36,3600,1894.0,9,63,9,0,63,48.0,1122.0,686.0,2515.0,1711.0,5750.0
37,3700,1882.0,15,63,0,0,63,0.0,1122.0,686.0,2515.0,1711.0,5750.0
38,3800,1879.0,0,63,0,9,63,0.0,1122.0,686.0,2439.0,1692.0,5655.0
39,3900,1870.0,0,60,0,0,60,77.0,1122.0,686.0,2439.0,1711.0,5674.0
40,4000,1863.0,0,54,0,0,54,74.0,1122.0,686.0,2515.0,1711.0,5750.0
41,4100,1801.0,8,60,0,0,60,87.0,1122.0,686.0,2591.0,1730.0,5864.0
42,4200,1884.0,0,58,0,9,58,57.0,1122.0,686.0,2515.0,1711.0,5769.0
43,4300,1909.0,9,75,0,0,75,30.0,1122.0,686.0,2439.0,1692.0,5674.0
44,4400,1872.0,0,60,0,9,60,0.0,1122.0,686.0,2439.0,1692.0,5674.0
45,4500,1870.0,0,60,0,0,60,17.0,1122.0,686.0,2515.0,1711.0,5769.0
46,4600,1863.0,8,54,0,0,54,99.0,1122.0,686.0,2515.0,1711.0,5769.0
47,4700,1803.0,0,63,0,0,63,99.0,1122.0,686.0,2591.0,1730.0,5864.0
48,4800,1882.0,0,63,0,0,63,24.0,1122.0,686.0,2439.0,1711.0,5674.0
49,4900,1890.0,16,63,0,0,63,14.0,1122.0,686.0,2439.0,1673.0,5636.0
50,5000,1873.0,8,63,0,0,63,14.0,1122.0,686.0,2439.0,1673.0,5655.0
51,5100,1872.0,0,54,8,0,54,22.0,1122.0,686.0,2515.0,1692.0,5750.0
52,5200,1810.0,9,60,0,9,60,99.0,1122.0,686.0,2591.0,1711.0,5845.0
53,5300,1891.0,9,54,0,0,54,99.0,1122.0,686.0,2591.0,1730.0,5864.0
54,5400,1903.0,8,63,0,0,63,25.0,1122.0,686.0,2591.0,1711.0,5845.0
55,5500,1893.0,9,70,0,9,70,29.0,1122.0,686.0,2515.0,1711.0,5769.0
56,5600,1878.0,0,63,0,0,63,0.0,1122.0,686.0,2515.0,1692.0,5750.0
57,5700,1868.0,9,58,0,0,58,0.0,1122.0,762.0,2515.0,1692.0,5826.0
58,5800,1868.0,8,63,15,9,63,88.0,1122.0,686.0,2591.0,1711.0,5826.0
59,5900,1803.0,0,58,0,0,58,99.0,1122.0,686.0,2591.0,1730.0,5845.0
60,6000,1894.0,9,63,0,9,63,61.0,1122.0,686.0,2667.0,1750.0,5941.0
61,6100,1899.0,0,60,0,0,60,60.0,1122.0,686.0,2591.0,1730.0,5845.0
62,6200,1894.0,0,70,0,0,70,0.0,1122.0,686.0,2591.0,1711.0,5826.0
63,6300,1880.0,0,63,0,0,63,0.0,1122.0,762.0,2515.0,1692.0,5807.0
64,6400,1870.0,9,54,0,0,54,60.0,1122.0,762.0,2515.0,1692.0,5807.0
65,6500,1811.0,8,60,0,0,60,99.0,1122.0,686.0,2591.0,1711.0,5826.0
66,6600,1881.0,0,54,8,9,54,53.0,1122.0,686.0,2667.0,1730.0,5921.0
67,6700,1881.0,9,72,0,0,72,15.0,1122.0,762.0,2515.0,1711.0,5826.0
68,6800,1884.0,16,63,0,0,63,13.0,1122.0,686.0,2439.0,1692.0,5655.0
69,6900,1869.0,0,60,0,0,60,3.0,1122.0,686.0,2515.0,1692.0,5731.0
70,7000,1865.0,0,58,8,8,58,99.0,1122.0,686.0,2591.0,1711.0,5826.0
71,7100,1802.0,9,60,0,0,60,99.0,1122.0,686.0,2591.0,1730.0,5845.0
72,7200,1881.0,9,63,8,8,63,9.0,1122.0,686.0,2591.0,1730.0,5845.0
73,7300,1892.0,9,63,0,0,63,4.0,1122.0,762.0,2515.0,1730.0,5845.0
74,7400,1882.0,0,66,0,0,66,15.0,1122.0,762.0,2439.0,1711.0,5750.0
75,7500,1869.0,9,60,0,0,60,21.0,1122.0,762.0,2515.0,1692.0,5807.0
76,7600,1885.0,9,54,0,8,54,28.0,1122.0,686.0,2515.0,1711.0,5769.0
77,7700,1804.0,0,63,0,0,63,99.0,1122.0,686.0,2667.0,1730.0,5940.0
78,7800,1894.0,0,63,8,0,63,73.0,1122.0,686.0,2515.0,1711.0,5769.0
79,7900,1875.0,0,70,0,0,70,0.0,1122.0,686.0,2439.0,1673.0,5655.0
80,8000,1871.0,0,54,0,0,54,0.0,1122.0,686.0,2515.0,1673.0,5731.0
81,8100,1872.0,9,63,0,0,63,74.0,1122.0,686.0,2515.0,1692.0,5750.0
82,8200,1804.0,9,54,8,9,54,99.0,1122.0,686.0,2591.0,1711.0,5845.0
83,8300,1907.0,8,60,0,0,60,61.0,1122.0,686.0,2591.0,1711.0,5845.0
84,8400,1881.0,0,66,0,0,66,42.0,1122.0,686.0,2515.0,1692.0,5750.0
85,8500,1873.0,0,66,0,0,66,0.0,1122.0,686.0,2439.0,1673.0,5636.0
86,8600,1871.0,0,58,0,0,58,9.0,1122.0,686.0,2515.0,1673.0,5712.0
87,8700,1866.0,16,60,0,0,60,99.0,1122.0,686.0,2591.0,1692.0,5807.0
88,8800,1881.0,0,58,8,0,58,99.0,1122.0,686.0,2591.0,1711.0,5826.0
89,8900,1918.0,0,60,0,0,60,32.0,1122.0,686.0,2591.0,1730.0,5845.0
90,9000,1888.0,9,66,0,9,66,25.0,1122.0,762.0,2515.0,1711.0,5845.0
91,9100,1877.0,8,66,0,0,66,0.0,1122.0,762.0,2515.0,1692.0,5826.0
92,9200,1872.0,0,60,0,0,60,0.0,1122.0,762.0,2515.0,1692.0,5826.0
93,9300,1877.0,9,60,0,16,60,99.0,1122.0,686.0,2591.0,1711.0,5845.0
94,9400,1872.0,9,58,9,0,58,98.0,1122.0,686.0,2591.0,1711.0,5941.0
95,9500,1908.0,0,60,0,0,60,40.0,1122.0,686.0,2667.0,1730.0,6171.0
