RAM 2059/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1541,off,off,27%@1547,75%@1544,9%@1543] EMC_FREQ 7%@1600 GR3D_FREQ 2%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@48.5C thermal@47.7C Tdiode@46.25C VDD_SYS_GPU 305/495 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 38/7 VDD_IN 3319/3532 VDD_SYS_CPU 686/635 VDD_SYS_DDR 942/1014
RAM 2085/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1574,off,off,100%@1574,10%@1574,0%@1574] EMC_FREQ 7%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.7C Tdiode@46.25C VDD_SYS_GPU 305/480 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/8 VDD_IN 3281/3512 VDD_SYS_CPU 686/639 VDD_SYS_DDR 923/1007
RAM 2099/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1573,off,off,100%@1572,18%@1573,0%@1573] EMC_FREQ 7%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/468 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/9 VDD_IN 3243/3493 VDD_SYS_CPU 687/642 VDD_SYS_DDR 923/1001
RAM 2110/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1546,off,off,0%@1546,91%@1546,8%@1545] EMC_FREQ 6%@1600 GR3D_FREQ 4%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@48.5C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/457 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/10 VDD_IN 3243/3476 VDD_SYS_CPU 687/645 VDD_SYS_DDR 923/995
RAM 2119/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@1545,off,off,25%@1546,100%@1547,18%@1547] EMC_FREQ 6%@1600 GR3D_FREQ 5%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@48.5C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/447 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/10 VDD_IN 3319/3466 VDD_SYS_CPU 686/648 VDD_SYS_DDR 942/992
RAM 2128/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1574,off,off,0%@1573,100%@1573,0%@1574] EMC_FREQ 6%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@48.5C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/439 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/11 VDD_IN 3281/3456 VDD_SYS_CPU 686/650 VDD_SYS_DDR 923/988
RAM 2132/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1575,off,off,8%@1575,100%@1573,0%@1574] EMC_FREQ 6%@1600 GR3D_FREQ 9%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/431 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/11 VDD_IN 3243/3444 VDD_SYS_CPU 687/652 VDD_SYS_DDR 903/983
RAM 2139/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1576,off,off,0%@1574,60%@1574,54%@1574] EMC_FREQ 5%@1600 GR3D_FREQ 6%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/425 VDD_SYS_SOC 610/682 VDD_4V0_WIFI 19/12 VDD_IN 3243/3433 VDD_SYS_CPU 686/654 VDD_SYS_DDR 903/979
RAM 2153/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1579,off,off,9%@1576,0%@1575,100%@1573] EMC_FREQ 6%@1600 GR3D_FREQ 4%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 381/423 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/12 VDD_IN 3396/3431 VDD_SYS_CPU 686/655 VDD_SYS_DDR 980/979
RAM 2176/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1574,off,off,0%@1575,9%@1574,100%@1574] EMC_FREQ 5%@1600 GR3D_FREQ 2%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 305/417 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/12 VDD_IN 3358/3428 VDD_SYS_CPU 686/657 VDD_SYS_DDR 980/979
