Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,2035.0,0,0,0,100,100,0.0,1032.0,915.0,991.0,1250.0,3918.0
1,100,2072.0,9,9,0,90,90,0.0,1032.0,991.0,762.0,1173.0,3612.0
2,200,1994.0,10,9,0,90,90,0.0,1032.0,992.0,686.0,1134.0,3498.0
3,300,2034.0,9,0,0,100,100,0.0,1032.0,992.0,534.0,1096.0,3308.0
4,400,1990.0,0,0,36,66,66,1.0,1032.0,992.0,457.0,1076.0,3211.0
5,500,1995.0,0,0,91,10,91,3.0,1032.0,992.0,457.0,1038.0,3173.0
6,600,1988.0,9,0,100,10,100,5.0,1032.0,992.0,381.0,1019.0,3078.0
7,700,1992.0,0,0,100,9,100,4.0,1032.0,1068.0,381.0,1000.0,3135.0
8,800,1990.0,0,0,100,9,100,4.0,1032.0,1068.0,305.0,980.0,3039.0
9,900,1990.0,9,0,91,18,91,4.0,1032.0,1068.0,305.0,980.0,3039.0
10,1000,2036.0,8,16,100,9,100,2.0,1032.0,1068.0,305.0,961.0,3020.0
11,1100,1997.0,0,0,100,10,100,2.0,1032.0,1068.0,305.0,942.0,3001.0
12,1200,2035.0,0,18,100,25,100,13.0,1032.0,1068.0,305.0,961.0,3020.0
13,1300,2018.0,25,9,100,0,100,8.0,1032.0,1144.0,305.0,961.0,3096.0
14,1400,2035.0,0,10,100,0,100,8.0,1032.0,1144.0,305.0,942.0,3077.0
15,1500,1994.0,25,16,100,9,100,3.0,1032.0,1144.0,305.0,961.0,3096.0
16,1600,1993.0,9,18,100,9,100,2.0,1032.0,1144.0,381.0,1019.0,3230.0
17,1700,1987.0,9,0,100,9,100,1.0,1032.0,1144.0,305.0,1019.0,3154.0
18,1800,2024.0,9,0,100,0,100,4.0,1032.0,1144.0,305.0,1000.0,3135.0
19,1900,1994.0,0,0,100,9,100,1.0,1032.0,1068.0,305.0,980.0,3039.0
20,2000,1991.0,18,0,81,9,81,2.0,1032.0,1068.0,305.0,980.0,3039.0
21,2100,1974.0,9,0,75,0,75,43.0,1032.0,1068.0,610.0,1057.0,3421.0
22,2200,2034.0,0,0,60,0,60,99.0,1032.0,991.0,1068.0,1230.0,3975.0
23,2300,2047.0,9,0,50,0,50,39.0,1032.0,915.0,1372.0,1327.0,4376.0
24,2400,2065.0,0,15,66,0,66,45.0,1032.0,915.0,1601.0,1403.0,4681.0
25,2500,2023.0,9,9,70,0,70,0.0,1032.0,915.0,1677.0,1442.0,4796.0
26,2600,2024.0,9,0,54,0,54,1.0,1032.0,915.0,1829.0,1500.0,5006.0
27,2700,2023.0,9,0,60,9,60,88.0,1032.0,838.0,1981.0,1557.0,5138.0
28,2800,1959.0,0,0,58,0,58,93.0,1032.0,838.0,2058.0,1596.0,5349.0
29,2900,1802.0,9,0,50,0,50,74.0,1032.0,838.0,2210.0,1634.0,5539.0
30,3000,345.0,0,8,63,0,63,68.0,1032.0,762.0,2210.0,1653.0,5482.0
31,3100,2035.0,15,0,58,8,58,47.0,1032.0,762.0,2210.0,1653.0,5482.0
32,3200,2067.0,9,0,70,0,70,36.0,1032.0,762.0,2134.0,1634.0,5387.0
33,3300,2026.0,16,8,60,8,60,0.0,1032.0,762.0,2134.0,1634.0,5387.0
34,3400,1318.0,9,50,0,0,50,76.0,1032.0,762.0,2210.0,1653.0,5482.0
35,3500,2073.0,9,54,0,0,54,78.0,1032.0,762.0,2286.0,1692.0,5597.0
36,3600,2072.0,60,9,0,0,60,76.0,1032.0,762.0,2210.0,1692.0,5521.0
37,3700,2056.0,36,36,8,9,36,0.0,1032.0,762.0,2210.0,1673.0,5483.0
38,3800,2028.0,16,60,9,8,60,0.0,1032.0,762.0,2210.0,1653.0,5463.0
39,3900,2021.0,0,58,0,0,58,58.0,1032.0,762.0,2210.0,1673.0,5483.0
40,4000,2025.0,0,54,9,9,54,64.0,1032.0,762.0,2286.0,1673.0,5559.0
41,4100,1801.0,0,60,0,0,60,89.0,1032.0,762.0,2362.0,1692.0,5654.0
42,4200,1290.0,9,58,0,16,58,73.0,1032.0,762.0,2286.0,1692.0,5597.0
43,4300,652.0,16,63,0,0,63,73.0,1032.0,762.0,2286.0,1692.0,5597.0
44,4400,2035.0,0,60,0,0,60,0.0,1032.0,762.0,2210.0,1692.0,5502.0
45,4500,1995.0,9,63,0,9,63,0.0,1032.0,762.0,2210.0,1673.0,5502.0
46,4600,2019.0,0,30,33,0,33,48.0,1032.0,762.0,2286.0,1692.0,5578.0
47,4700,1990.0,0,16,44,0,44,73.0,1032.0,762.0,2286.0,1692.0,5578.0
48,4800,1673.0,23,60,0,0,60,87.0,1032.0,762.0,2362.0,1711.0,5692.0
49,4900,2068.0,0,54,8,0,54,57.0,1032.0,838.0,2286.0,1711.0,5673.0
50,5000,498.0,9,60,0,0,60,0.0,1032.0,838.0,2286.0,1692.0,5654.0
51,5100,2069.0,0,60,0,8,60,0.0,1032.0,762.0,2286.0,1692.0,5578.0
52,5200,2021.0,16,63,0,0,63,0.0,1032.0,762.0,2286.0,1692.0,5578.0
53,5300,2020.0,9,54,0,0,54,45.0,1032.0,762.0,2286.0,1692.0,5578.0
54,5400,1991.0,0,58,9,0,58,36.0,1032.0,762.0,2362.0,1692.0,5654.0
55,5500,1991.0,9,54,0,0,54,99.0,1032.0,762.0,2362.0,1711.0,5673.0
56,5600,1267.0,8,20,30,0,30,99.0,1032.0,762.0,2362.0,1711.0,5692.0
57,5700,345.0,9,63,8,0,63,15.0,1032.0,762.0,2362.0,1711.0,5692.0
58,5800,345.0,16,58,0,0,58,23.0,1032.0,762.0,2362.0,1711.0,5673.0
59,5900,345.0,9,58,0,0,58,27.0,1032.0,762.0,2362.0,1711.0,5673.0
60,6000,499.0,9,63,8,0,63,34.0,1032.0,762.0,2362.0,1711.0,5673.0
61,6100,2051.0,0,60,0,0,60,31.0,1032.0,762.0,2286.0,1692.0,5578.0
62,6200,2071.0,15,54,0,0,54,0.0,1032.0,762.0,2286.0,1692.0,5578.0
63,6300,2036.0,9,63,0,8,63,0.0,1032.0,762.0,2286.0,1673.0,5559.0
64,6400,2024.0,0,63,0,0,63,90.0,1032.0,762.0,2362.0,1692.0,5654.0
65,6500,1959.0,0,58,0,0,58,99.0,1032.0,762.0,2362.0,1692.0,5654.0
66,6600,346.0,8,54,0,0,54,99.0,1032.0,762.0,2439.0,1711.0,5750.0
67,6700,345.0,16,54,0,0,54,59.0,1032.0,762.0,2362.0,1711.0,5673.0
68,6800,652.0,0,60,0,0,60,56.0,1032.0,762.0,2286.0,1711.0,5597.0
69,6900,345.0,0,66,8,0,66,39.0,1032.0,762.0,2286.0,1711.0,5597.0
70,7000,499.0,15,63,0,0,63,0.0,1032.0,762.0,2286.0,1711.0,5597.0
71,7100,2022.0,9,66,0,0,66,0.0,1032.0,762.0,2210.0,1692.0,5502.0
72,7200,2023.0,0,54,0,0,54,0.0,1032.0,762.0,2286.0,1692.0,5578.0
73,7300,2028.0,0,54,0,0,54,74.0,1032.0,762.0,2362.0,1711.0,5673.0
74,7400,1959.0,0,54,0,0,54,71.0,1032.0,762.0,2362.0,1711.0,5673.0
75,7500,498.0,0,63,0,9,63,77.0,1032.0,762.0,2439.0,1730.0,5769.0
76,7600,1760.0,9,60,9,8,60,54.0,1032.0,762.0,2362.0,1711.0,5692.0
77,7700,2036.0,8,66,8,0,66,0.0,1032.0,762.0,2286.0,1692.0,5597.0
78,7800,2026.0,9,60,0,0,60,0.0,1032.0,762.0,2286.0,1692.0,5597.0
79,7900,2023.0,0,54,0,0,54,74.0,1032.0,762.0,2286.0,1692.0,5597.0
80,8000,1959.0,0,54,0,0,54,85.0,1032.0,762.0,2362.0,1711.0,5692.0
81,8100,1800.0,9,60,0,0,60,83.0,1032.0,762.0,2439.0,1730.0,5788.0
82,8200,2038.0,16,58,0,0,58,81.0,1032.0,762.0,2439.0,1730.0,5788.0
83,8300,345.0,16,66,0,0,66,58.0,1032.0,762.0,2362.0,1711.0,5692.0
84,8400,2071.0,0,63,0,0,63,0.0,1032.0,762.0,2286.0,1692.0,5597.0
85,8500,2034.0,0,60,0,0,60,0.0,1032.0,762.0,2210.0,1673.0,5502.0
86,8600,2017.0,0,54,9,0,54,71.0,1032.0,762.0,2286.0,1692.0,5597.0
87,8700,1961.0,0,54,0,0,54,67.0,1032.0,762.0,2362.0,1692.0,5673.0
88,8800,2035.0,9,60,0,9,60,99.0,1032.0,762.0,2439.0,1730.0,5788.0
89,8900,1881.0,9,54,8,8,54,99.0,1032.0,762.0,2439.0,1750.0,5808.0
90,9000,345.0,0,58,0,0,58,99.0,1032.0,762.0,2439.0,1750.0,5808.0
91,9100,345.0,16,58,0,0,58,18.0,1032.0,762.0,2362.0,1730.0,5711.0
92,9200,345.0,8,63,8,0,63,30.0,1032.0,762.0,2362.0,1730.0,5692.0
93,9300,345.0,9,63,0,0,63,11.0,1032.0,762.0,2286.0,1692.0,5578.0
94,9400,499.0,16,58,0,0,58,21.0,1032.0,762.0,2286.0,1711.0,5616.0
95,9500,2073.0,0,60,8,0,60,0.0,1032.0,762.0,2286.0,1711.0,5616.0
96,9600,2024.0,16,66,0,0,66,17.0,1032.0,762.0,2286.0,1692.0,5578.0
97,9700,2027.0,0,50,0,0,50,6.0,1032.0,762.0,2362.0,1692.0,5654.0
98,9800,1965.0,0,54,0,0,54,99.0,1032.0,762.0,2362.0,1730.0,5692.0
99,9900,1801.0,0,63,0,0,63,91.0,1032.0,762.0,2362.0,1730.0,5692.0
100,10000,345.0,9,54,0,0,54,56.0,1032.0,762.0,2362.0,1750.0,5712.0
