Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1113.0,0,0,100,0,100,0.0,854.0,381.0,457.0,1038.0,2562.0
1,100,1113.0,23,0,100,0,100,3.0,854.0,381.0,381.0,980.0,2428.0
2,200,1114.0,0,9,100,9,100,0.0,854.0,381.0,305.0,942.0,2257.0
3,300,1063.0,9,9,40,45,45,7.0,854.0,381.0,305.0,942.0,2257.0
4,400,1113.0,9,0,0,100,100,0.0,854.0,381.0,305.0,942.0,2257.0
5,500,1113.0,0,0,8,100,100,0.0,854.0,381.0,228.0,942.0,2180.0
6,600,1114.0,9,0,0,100,100,0.0,854.0,381.0,228.0,942.0,2180.0
7,700,1062.0,18,0,0,100,100,2.0,854.0,381.0,228.0,942.0,2180.0
8,800,1061.0,8,9,0,100,100,0.0,854.0,381.0,228.0,923.0,2161.0
9,900,1113.0,10,0,0,100,100,0.0,854.0,381.0,228.0,923.0,2161.0
10,1000,1063.0,27,0,16,100,100,5.0,854.0,381.0,228.0,903.0,2141.0
11,1100,1061.0,23,0,0,90,90,1.0,854.0,381.0,228.0,903.0,2141.0
12,1200,1114.0,10,0,0,100,100,0.0,854.0,458.0,228.0,884.0,2199.0
13,1300,1064.0,20,0,0,100,100,4.0,854.0,458.0,228.0,884.0,2180.0
14,1400,1059.0,9,0,8,100,100,1.0,854.0,458.0,228.0,884.0,2180.0
15,1500,1065.0,0,0,0,100,100,2.0,854.0,458.0,228.0,884.0,2180.0
16,1600,1064.0,10,0,16,100,100,2.0,854.0,458.0,228.0,884.0,2199.0
17,1700,1060.0,16,0,0,100,100,2.0,854.0,458.0,228.0,884.0,2199.0
18,1800,1059.0,10,0,16,100,100,4.0,854.0,458.0,228.0,884.0,2199.0
19,1900,1114.0,0,10,9,100,100,18.0,854.0,458.0,228.0,903.0,2218.0
20,2000,1112.0,20,18,10,100,100,3.0,854.0,458.0,228.0,923.0,2238.0
21,2100,1063.0,10,9,10,100,100,4.0,854.0,458.0,228.0,903.0,2218.0
22,2200,1060.0,9,8,0,100,100,0.0,854.0,458.0,228.0,884.0,2199.0
23,2300,1113.0,16,9,16,100,100,0.0,854.0,458.0,228.0,884.0,2199.0
24,2400,1060.0,25,9,0,100,100,1.0,854.0,458.0,228.0,884.0,2199.0
25,2500,1118.0,9,0,11,100,100,12.0,854.0,458.0,228.0,980.0,2295.0
26,2600,1063.0,0,9,8,100,100,1.0,854.0,458.0,228.0,961.0,2257.0
27,2700,1062.0,9,9,0,100,100,2.0,854.0,458.0,228.0,961.0,2257.0
28,2800,1113.0,20,8,0,83,83,1.0,854.0,458.0,228.0,942.0,2238.0
29,2900,1058.0,27,0,0,81,81,2.0,854.0,458.0,228.0,923.0,2219.0
30,3000,1060.0,0,0,8,90,90,0.0,854.0,457.0,228.0,923.0,2333.0
31,3100,1065.0,0,9,0,100,100,1.0,854.0,457.0,228.0,923.0,2468.0
32,3200,1064.0,23,8,0,100,100,1.0,854.0,457.0,228.0,923.0,2448.0
33,3300,1060.0,9,0,0,100,100,0.0,854.0,457.0,228.0,903.0,2390.0
34,3400,1112.0,0,8,0,76,76,0.0,854.0,381.0,457.0,1000.0,2658.0
35,3500,1113.0,21,0,0,77,77,0.0,854.0,381.0,610.0,1076.0,2868.0
36,3600,1113.0,0,0,0,58,58,62.0,854.0,381.0,839.0,1192.0,3194.0
37,3700,1064.0,0,8,9,72,72,25.0,854.0,381.0,991.0,1250.0,3384.0
38,3800,1113.0,0,0,8,80,80,0.0,854.0,381.0,1068.0,1269.0,3461.0
39,3900,1113.0,0,9,8,58,58,77.0,854.0,381.0,1220.0,1346.0,3747.0
40,4000,1061.0,9,0,0,72,72,99.0,854.0,381.0,1296.0,1365.0,3842.0
41,4100,1114.0,9,8,0,81,81,0.0,854.0,381.0,1220.0,1365.0,3747.0
42,4200,1114.0,16,0,0,66,66,60.0,854.0,381.0,1296.0,1384.0,3842.0
43,4300,1061.0,0,0,0,63,63,99.0,854.0,381.0,1372.0,1423.0,3957.0
44,4400,1113.0,9,0,0,80,80,0.0,854.0,381.0,1296.0,1423.0,3881.0
45,4500,1113.0,0,0,63,18,63,0.0,854.0,381.0,1372.0,1423.0,3957.0
46,4600,1062.0,0,0,0,54,54,99.0,854.0,381.0,1448.0,1461.0,4071.0
47,4700,1112.0,0,0,0,80,80,0.0,854.0,381.0,1372.0,1423.0,3957.0
48,4800,1112.0,16,9,54,18,54,0.0,854.0,381.0,1372.0,1442.0,3976.0
49,4900,1061.0,0,8,16,58,58,99.0,854.0,381.0,1525.0,1461.0,4148.0
50,5000,1113.0,16,0,72,0,72,5.0,854.0,381.0,1372.0,1442.0,3976.0
51,5100,1113.0,0,8,75,0,75,0.0,854.0,381.0,1372.0,1442.0,3957.0
52,5200,1065.0,0,0,60,0,60,90.0,854.0,381.0,1525.0,1480.0,4148.0
53,5300,1059.0,8,0,75,0,75,0.0,854.0,381.0,1448.0,1442.0,4033.0
54,5400,1114.0,9,9,72,0,72,5.0,854.0,381.0,1372.0,1442.0,3957.0
55,5500,1061.0,0,0,63,0,63,99.0,854.0,381.0,1525.0,1480.0,4148.0
56,5600,1113.0,16,16,80,8,80,0.0,854.0,381.0,1448.0,1442.0,4052.0
57,5700,1112.0,9,8,72,0,72,11.0,854.0,381.0,1372.0,1442.0,3976.0
58,5800,1062.0,0,0,54,0,54,99.0,854.0,381.0,1525.0,1480.0,4167.0
59,5900,1114.0,9,0,83,8,83,5.0,854.0,381.0,1448.0,1461.0,4071.0
60,6000,1112.0,9,8,72,0,72,0.0,854.0,381.0,1372.0,1442.0,3976.0
61,6100,1113.0,0,54,0,0,54,99.0,854.0,381.0,1525.0,1480.0,4167.0
62,6200,1114.0,9,0,70,0,70,20.0,854.0,381.0,1448.0,1442.0,4052.0
63,6300,1062.0,0,0,83,8,83,0.0,854.0,381.0,1372.0,1423.0,3957.0
64,6400,1113.0,16,0,63,0,63,36.0,854.0,381.0,1372.0,1442.0,3976.0
65,6500,1063.0,0,0,63,0,63,99.0,854.0,381.0,1448.0,1480.0,4090.0
66,6600,1114.0,9,0,80,0,80,15.0,854.0,381.0,1372.0,1442.0,3976.0
67,6700,1112.0,0,8,75,0,75,0.0,854.0,381.0,1372.0,1442.0,3957.0
68,6800,1114.0,9,0,54,0,54,86.0,854.0,381.0,1525.0,1500.0,4168.0
69,6900,1114.0,0,0,81,0,81,0.0,854.0,381.0,1448.0,1461.0,4052.0
70,7000,1113.0,16,0,72,0,72,0.0,854.0,381.0,1372.0,1423.0,3938.0
71,7100,1114.0,0,0,63,0,63,46.0,854.0,381.0,1448.0,1461.0,4052.0
