Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1548.0,0,100,0,0,100,0.0,1236.0,610.0,915.0,1173.0,3384.0
1,100,1574.0,8,100,9,0,100,0.0,1236.0,610.0,762.0,1096.0,3154.0
2,200,1545.0,10,81,0,0,81,7.0,1236.0,610.0,686.0,1057.0,3039.0
3,300,1575.0,9,100,0,0,100,0.0,1236.0,610.0,534.0,1038.0,2868.0
4,400,1573.0,0,100,0,9,100,0.0,1236.0,610.0,457.0,1038.0,2791.0
5,500,1548.0,0,100,9,8,100,3.0,1236.0,610.0,457.0,1019.0,2772.0
6,600,1574.0,8,92,10,0,92,0.0,1236.0,610.0,381.0,1000.0,2677.0
7,700,1573.0,9,100,16,0,100,0.0,1236.0,610.0,381.0,961.0,2638.0
8,800,1542.0,0,100,10,0,100,0.0,1236.0,687.0,381.0,961.0,2715.0
9,900,1497.0,0,50,54,9,54,0.0,1236.0,687.0,381.0,942.0,2715.0
10,1000,1574.0,16,9,90,9,90,3.0,1236.0,687.0,305.0,942.0,2658.0
11,1100,1541.0,16,27,75,9,75,2.0,1236.0,686.0,305.0,942.0,2657.0
12,1200,1574.0,0,100,10,0,100,0.0,1236.0,686.0,305.0,923.0,2619.0
13,1300,1573.0,0,100,18,0,100,0.0,1236.0,687.0,305.0,923.0,2620.0
14,1400,1546.0,9,0,91,8,91,4.0,1236.0,687.0,305.0,923.0,2620.0
15,1500,1545.0,18,25,100,18,100,5.0,1236.0,686.0,305.0,942.0,2638.0
16,1600,1574.0,10,0,100,0,100,0.0,1236.0,686.0,305.0,923.0,2619.0
17,1700,1575.0,9,8,100,0,100,9.0,1236.0,687.0,305.0,903.0,2600.0
18,1800,1576.0,0,0,60,54,60,6.0,1236.0,686.0,305.0,903.0,2523.0
19,1900,1579.0,10,9,0,100,100,4.0,1236.0,686.0,381.0,980.0,2752.0
20,2000,1574.0,10,0,9,100,100,2.0,1236.0,686.0,305.0,980.0,2676.0
