Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1265.0,9,100,0,0,100,0.0,726.0,457.0,915.0,1076.0,3134.0
1,100,1260.0,8,100,9,16,100,10.0,726.0,457.0,762.0,1038.0,2943.0
2,200,1267.0,0,90,0,0,90,0.0,726.0,457.0,610.0,980.0,2733.0
3,300,1257.0,18,45,0,58,58,7.0,726.0,458.0,534.0,980.0,2658.0
4,400,1260.0,9,0,0,100,100,0.0,726.0,458.0,457.0,980.0,2581.0
5,500,1267.0,8,0,8,100,100,0.0,726.0,458.0,381.0,980.0,2505.0
6,600,1263.0,10,0,0,100,100,2.0,726.0,458.0,305.0,961.0,2410.0
7,700,1266.0,10,16,0,100,100,2.0,726.0,458.0,305.0,942.0,2391.0
8,800,1260.0,9,0,9,100,100,0.0,726.0,458.0,305.0,923.0,2372.0
9,900,1260.0,10,0,8,100,100,3.0,726.0,458.0,228.0,923.0,2295.0
10,1000,1254.0,25,0,20,83,83,13.0,726.0,534.0,228.0,923.0,2371.0
11,1100,1257.0,0,0,33,76,76,2.0,726.0,534.0,228.0,903.0,2351.0
12,1200,1201.0,18,0,0,100,100,7.0,726.0,534.0,228.0,903.0,2351.0
13,1300,1261.0,9,9,0,100,100,1.0,726.0,534.0,228.0,903.0,2351.0
14,1400,1262.0,10,0,0,90,90,3.0,726.0,534.0,228.0,903.0,2351.0
15,1500,1257.0,16,0,9,100,100,1.0,726.0,534.0,228.0,903.0,2351.0
16,1600,1260.0,27,0,0,90,90,0.0,726.0,534.0,228.0,903.0,2351.0
17,1700,1256.0,18,10,9,100,100,3.0,726.0,534.0,228.0,923.0,2371.0
18,1800,1262.0,10,9,16,100,100,15.0,726.0,534.0,228.0,923.0,2371.0
19,1900,1259.0,9,0,0,100,100,0.0,726.0,534.0,228.0,903.0,2351.0
