Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1725.0,9,100,0,9,100,0.0,1122.0,763.0,839.0,1173.0,3461.0
1,100,1726.0,0,100,9,0,100,0.0,1122.0,763.0,686.0,1115.0,3250.0
2,200,1676.0,30,33,30,16,33,6.0,1122.0,763.0,610.0,1057.0,3116.0
3,300,1727.0,100,9,0,0,100,0.0,1122.0,686.0,534.0,1057.0,2963.0
4,400,1728.0,100,0,9,0,100,0.0,1122.0,686.0,457.0,1038.0,2886.0
5,500,1691.0,30,81,0,0,81,0.0,1122.0,763.0,381.0,1019.0,2868.0
6,600,1672.0,0,100,25,0,100,3.0,1122.0,763.0,381.0,980.0,2829.0
7,700,1725.0,9,91,10,0,91,6.0,1122.0,763.0,381.0,961.0,2810.0
8,800,1672.0,0,100,0,0,100,2.0,1122.0,763.0,305.0,961.0,2734.0
9,900,1721.0,9,100,18,0,100,1.0,1122.0,763.0,305.0,942.0,2715.0
10,1000,1728.0,0,100,16,0,100,0.0,1122.0,763.0,305.0,942.0,2715.0
11,1100,1725.0,9,100,18,0,100,0.0,1122.0,763.0,305.0,942.0,2811.0
12,1200,1690.0,9,100,0,0,100,5.0,1122.0,763.0,305.0,942.0,2946.0
13,1300,1721.0,0,100,10,8,100,1.0,1122.0,763.0,305.0,942.0,2926.0
14,1400,1728.0,25,100,9,18,100,10.0,1122.0,839.0,305.0,961.0,2983.0
15,1500,1723.0,9,100,8,0,100,0.0,1122.0,763.0,305.0,942.0,2830.0
16,1600,1726.0,10,100,9,0,100,0.0,1122.0,763.0,305.0,923.0,2792.0
17,1700,1726.0,9,100,9,16,100,2.0,1122.0,839.0,305.0,942.0,2868.0
18,1800,1725.0,36,81,9,9,81,0.0,1122.0,839.0,305.0,1000.0,2906.0
19,1900,1726.0,8,100,0,0,100,2.0,1122.0,839.0,305.0,1000.0,2887.0
