Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1266.0,0,100,0,0,100,0.0,930.0,457.0,610.0,1115.0,2887.0
1,100,1258.0,16,100,0,9,100,6.0,930.0,457.0,534.0,1057.0,2753.0
2,200,1267.0,0,90,0,0,90,0.0,930.0,458.0,457.0,1000.0,2620.0
3,300,1256.0,18,10,50,50,50,9.0,930.0,458.0,381.0,1000.0,2544.0
4,400,1268.0,9,0,0,100,100,0.0,930.0,458.0,305.0,1000.0,2468.0
5,500,1254.0,0,0,9,100,100,0.0,930.0,458.0,305.0,1000.0,2468.0
6,600,1255.0,9,0,8,100,100,0.0,930.0,458.0,305.0,980.0,2448.0
7,700,1199.0,18,0,0,91,91,2.0,930.0,458.0,228.0,942.0,2333.0
8,800,1253.0,10,0,0,100,100,1.0,930.0,458.0,228.0,942.0,2238.0
9,900,1255.0,0,0,0,100,100,0.0,930.0,458.0,228.0,923.0,2219.0
10,1000,1249.0,18,9,0,100,100,4.0,930.0,534.0,228.0,923.0,2295.0
11,1100,1251.0,16,0,0,100,100,5.0,930.0,534.0,228.0,923.0,2295.0
12,1200,1257.0,10,9,9,100,100,2.0,930.0,534.0,228.0,923.0,2295.0
13,1300,1258.0,18,0,0,100,100,1.0,930.0,534.0,228.0,903.0,2275.0
14,1400,1164.0,0,0,9,100,100,1.0,930.0,458.0,228.0,903.0,2218.0
15,1500,1167.0,16,0,0,100,100,4.0,930.0,534.0,228.0,903.0,2275.0
16,1600,1254.0,18,15,0,100,100,5.0,930.0,534.0,228.0,884.0,2275.0
17,1700,1266.0,20,20,27,100,100,11.0,930.0,534.0,228.0,903.0,2294.0
18,1800,1253.0,25,0,18,100,100,7.0,930.0,534.0,228.0,903.0,2275.0
19,1900,1201.0,9,9,0,100,100,0.0,930.0,534.0,228.0,884.0,2256.0
20,2000,1255.0,0,0,0,100,100,6.0,930.0,534.0,228.0,884.0,2256.0
21,2100,1267.0,0,9,16,100,100,8.0,930.0,534.0,228.0,884.0,2256.0
22,2200,1266.0,9,9,9,100,100,19.0,930.0,534.0,228.0,942.0,2314.0
23,2300,1163.0,9,0,9,91,91,0.0,930.0,534.0,228.0,961.0,2409.0
24,2400,1256.0,9,0,0,100,100,0.0,930.0,534.0,228.0,961.0,2409.0
25,2500,1255.0,0,10,0,100,100,1.0,930.0,534.0,228.0,942.0,2314.0
26,2600,1252.0,0,0,9,100,100,1.0,930.0,534.0,228.0,923.0,2295.0
27,2700,1252.0,16,9,0,100,100,3.0,930.0,534.0,228.0,923.0,2295.0
28,2800,1256.0,9,0,0,100,100,2.0,930.0,534.0,228.0,923.0,2295.0
29,2900,1251.0,10,0,0,91,91,2.0,930.0,534.0,228.0,923.0,2295.0
30,3000,1256.0,0,0,0,80,80,86.0,930.0,457.0,457.0,1000.0,2600.0
31,3100,1254.0,9,0,9,81,81,0.0,930.0,457.0,610.0,1096.0,2849.0
32,3200,1267.0,0,0,0,63,63,33.0,930.0,457.0,915.0,1211.0,3269.0
33,3300,1256.0,8,9,0,72,72,0.0,930.0,457.0,1068.0,1269.0,3556.0
34,3400,1267.0,0,0,0,66,66,0.0,930.0,457.0,1144.0,1307.0,3670.0
35,3500,1259.0,0,0,0,58,58,72.0,930.0,457.0,1372.0,1365.0,3956.0
36,3600,1254.0,0,0,0,83,83,0.0,930.0,457.0,1296.0,1365.0,3880.0
37,3700,1267.0,9,0,0,54,54,99.0,930.0,457.0,1525.0,1442.0,4186.0
38,3800,1255.0,9,8,9,81,81,0.0,930.0,457.0,1448.0,1423.0,4090.0
39,3900,1267.0,0,0,0,54,54,74.0,930.0,457.0,1601.0,1480.0,4300.0
40,4000,1258.0,16,0,80,0,80,0.0,930.0,457.0,1525.0,1461.0,4205.0
41,4100,1268.0,9,8,60,0,60,26.0,930.0,457.0,1601.0,1500.0,4320.0
42,4200,1255.0,0,0,66,0,66,1.0,930.0,457.0,1601.0,1500.0,4320.0
43,4300,1267.0,16,8,72,8,72,4.0,930.0,457.0,1601.0,1500.0,4320.0
44,4400,1256.0,9,0,63,0,63,48.0,930.0,457.0,1601.0,1519.0,4339.0
