Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,2033.0,100,9,0,0,100,0.0,726.0,991.0,1220.0,1173.0,4242.0
1,100,2071.0,100,9,0,0,100,0.0,726.0,992.0,991.0,1115.0,3860.0
2,200,2034.0,36,10,54,0,54,0.0,726.0,992.0,839.0,1096.0,3670.0
3,300,2033.0,0,0,100,0,100,0.0,726.0,992.0,686.0,1076.0,3497.0
4,400,1988.0,0,27,75,0,75,1.0,726.0,992.0,534.0,1057.0,3307.0
5,500,1999.0,60,40,18,0,60,3.0,726.0,992.0,457.0,1019.0,3192.0
6,600,2035.0,0,91,9,0,91,0.0,726.0,1068.0,381.0,1000.0,3154.0
7,700,2034.0,0,100,18,9,100,6.0,726.0,1068.0,381.0,980.0,3134.0
8,800,1992.0,9,100,10,0,100,0.0,726.0,1068.0,305.0,980.0,3058.0
9,900,1990.0,9,0,100,18,100,4.0,726.0,1068.0,305.0,961.0,3039.0
10,1000,1990.0,0,0,90,18,90,5.0,726.0,1068.0,305.0,961.0,3039.0
11,1100,1966.0,0,0,100,10,100,3.0,726.0,1068.0,305.0,942.0,3020.0
12,1200,2035.0,20,83,9,9,83,13.0,726.0,1068.0,228.0,961.0,2962.0
13,1300,2035.0,18,100,9,9,100,0.0,726.0,1145.0,305.0,961.0,3116.0
14,1400,2034.0,15,100,16,9,100,7.0,726.0,1144.0,228.0,942.0,3019.0
15,1500,2020.0,18,100,0,0,100,11.0,726.0,1144.0,228.0,942.0,3000.0
16,1600,2035.0,18,100,0,18,100,0.0,726.0,1144.0,228.0,1019.0,3077.0
17,1700,1997.0,8,90,0,0,90,5.0,726.0,1144.0,228.0,1019.0,3077.0
18,1800,1991.0,0,27,80,9,80,0.0,726.0,1144.0,228.0,1000.0,3058.0
19,1900,1996.0,0,0,90,9,90,5.0,726.0,1144.0,228.0,980.0,3038.0
20,2000,1994.0,9,0,100,0,100,3.0,726.0,1144.0,228.0,980.0,3038.0
21,2100,2035.0,9,45,36,9,45,20.0,726.0,1068.0,305.0,1019.0,3078.0
22,2200,1962.0,9,8,63,8,63,61.0,726.0,992.0,610.0,1153.0,3441.0
23,2300,652.0,0,9,50,0,50,99.0,726.0,915.0,839.0,1269.0,3804.0
24,2400,2023.0,16,63,0,0,63,9.0,726.0,839.0,915.0,1307.0,3842.0
25,2500,1553.0,8,45,0,0,45,99.0,726.0,762.0,1143.0,1403.0,4089.0
26,2600,2072.0,0,63,9,8,63,0.0,726.0,762.0,1220.0,1423.0,4186.0
27,2700,2021.0,9,30,18,0,30,48.0,726.0,762.0,1296.0,1480.0,4319.0
28,2800,1610.0,0,36,16,0,36,99.0,726.0,762.0,1372.0,1538.0,4453.0
29,2900,2034.0,0,63,0,0,63,0.0,726.0,762.0,1372.0,1519.0,4434.0
