Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1112.0,9,0,0,100,100,0.0,930.0,457.0,534.0,1057.0,2753.0
1,100,1066.0,9,0,0,100,100,0.0,930.0,381.0,457.0,1000.0,2543.0
2,200,1114.0,16,0,0,100,100,0.0,930.0,381.0,381.0,961.0,2428.0
3,300,1062.0,0,25,50,36,50,9.0,930.0,381.0,381.0,961.0,2352.0
4,400,1062.0,9,0,0,100,100,0.0,930.0,381.0,305.0,961.0,2276.0
5,500,1114.0,25,0,0,100,100,0.0,930.0,381.0,305.0,961.0,2352.0
6,600,1059.0,8,0,0,100,100,0.0,930.0,381.0,228.0,961.0,2199.0
7,700,1059.0,10,8,0,100,100,3.0,930.0,381.0,228.0,942.0,2161.0
8,800,1058.0,18,9,8,100,100,4.0,930.0,381.0,228.0,923.0,2142.0
9,900,1062.0,18,0,0,100,100,4.0,930.0,381.0,228.0,923.0,2142.0
10,1000,1063.0,0,27,0,84,84,4.0,930.0,381.0,228.0,903.0,2122.0
11,1100,1113.0,16,0,0,100,100,1.0,930.0,458.0,228.0,903.0,2199.0
12,1200,1060.0,10,0,0,100,100,0.0,930.0,458.0,228.0,903.0,2199.0
13,1300,1065.0,0,0,8,100,100,2.0,930.0,458.0,228.0,903.0,2218.0
14,1400,1066.0,25,8,9,91,91,0.0,930.0,458.0,228.0,884.0,2199.0
15,1500,1064.0,9,0,0,100,100,0.0,930.0,458.0,228.0,884.0,2218.0
16,1600,1113.0,16,50,40,27,50,0.0,930.0,458.0,228.0,884.0,2199.0
17,1700,1113.0,18,10,0,90,90,0.0,930.0,458.0,228.0,884.0,2199.0
18,1800,1059.0,18,0,0,100,100,0.0,930.0,381.0,228.0,884.0,2122.0
19,1900,1113.0,10,0,9,100,100,7.0,930.0,381.0,228.0,884.0,2122.0
20,2000,1113.0,10,10,10,100,100,7.0,930.0,458.0,228.0,903.0,2218.0
21,2100,1113.0,18,9,18,100,100,10.0,930.0,458.0,228.0,884.0,2199.0
22,2200,1114.0,0,0,8,100,100,0.0,930.0,458.0,228.0,884.0,2199.0
23,2300,1113.0,10,16,0,100,100,10.0,930.0,458.0,228.0,884.0,2199.0
24,2400,1114.0,9,9,16,100,100,7.0,930.0,458.0,228.0,865.0,2180.0
25,2500,1113.0,9,0,9,100,100,13.0,930.0,458.0,228.0,923.0,2238.0
26,2600,1113.0,41,16,10,66,66,0.0,930.0,458.0,228.0,961.0,2276.0
27,2700,1056.0,91,9,0,10,91,0.0,930.0,458.0,228.0,961.0,2276.0
28,2800,1114.0,9,0,0,100,100,0.0,930.0,458.0,228.0,942.0,2257.0
29,2900,1113.0,9,0,9,100,100,4.0,930.0,458.0,228.0,923.0,2219.0
30,3000,1062.0,9,9,0,100,100,3.0,930.0,458.0,228.0,923.0,2219.0
31,3100,1064.0,0,0,0,100,100,3.0,930.0,458.0,228.0,923.0,2219.0
32,3200,1068.0,0,16,0,91,91,0.0,930.0,458.0,228.0,903.0,2199.0
33,3300,1113.0,0,0,0,100,100,1.0,930.0,458.0,228.0,903.0,2199.0
34,3400,1064.0,9,0,0,80,80,99.0,930.0,458.0,457.0,1000.0,2601.0
35,3500,1066.0,0,0,9,76,76,42.0,930.0,381.0,686.0,1076.0,2829.0
36,3600,1113.0,9,0,8,80,80,0.0,930.0,381.0,762.0,1134.0,2963.0
37,3700,1114.0,0,0,0,60,60,46.0,930.0,381.0,991.0,1250.0,3308.0
38,3800,1113.0,16,0,0,76,76,32.0,930.0,381.0,1144.0,1288.0,3499.0
39,3900,1114.0,8,0,0,81,81,0.0,930.0,381.0,1144.0,1307.0,3594.0
40,4000,1113.0,16,0,0,63,63,39.0,930.0,381.0,1296.0,1365.0,3804.0
41,4100,1062.0,9,15,8,72,72,28.0,930.0,381.0,1372.0,1384.0,3899.0
42,4200,1114.0,9,0,0,81,81,0.0,930.0,381.0,1296.0,1384.0,3823.0
