Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1266.0,0,0,8,100,100,0.0,1032.0,457.0,610.0,1076.0,2829.0
1,100,1250.0,9,16,0,100,100,5.0,1032.0,458.0,534.0,1019.0,2697.0
2,200,1267.0,0,8,0,90,90,0.0,1032.0,458.0,457.0,980.0,2581.0
3,300,1253.0,9,0,9,90,90,9.0,1032.0,458.0,381.0,961.0,2486.0
4,400,1246.0,0,8,0,100,100,0.0,1032.0,458.0,381.0,980.0,2524.0
5,500,1267.0,9,8,0,100,100,0.0,1032.0,458.0,305.0,980.0,2448.0
6,600,1248.0,9,0,8,100,100,1.0,1032.0,458.0,305.0,961.0,2429.0
7,700,1251.0,25,0,0,100,100,0.0,1032.0,458.0,305.0,942.0,2410.0
8,800,1245.0,9,0,0,100,100,0.0,1032.0,458.0,305.0,942.0,2334.0
9,900,1254.0,9,0,15,100,100,0.0,1032.0,458.0,305.0,923.0,2315.0
10,1000,1267.0,18,8,0,100,100,1.0,1032.0,458.0,228.0,923.0,2238.0
11,1100,1251.0,18,0,0,100,100,0.0,1032.0,534.0,228.0,903.0,2294.0
12,1200,1250.0,10,0,0,100,100,0.0,1032.0,534.0,228.0,903.0,2275.0
13,1300,1251.0,18,0,9,92,92,5.0,1032.0,534.0,228.0,903.0,2275.0
14,1400,1250.0,18,0,0,100,100,0.0,1032.0,534.0,228.0,884.0,2256.0
15,1500,1256.0,16,0,9,100,100,3.0,1032.0,534.0,228.0,903.0,2275.0
16,1600,1250.0,0,9,0,100,100,4.0,1032.0,534.0,228.0,884.0,2256.0
17,1700,1249.0,18,16,18,100,100,10.0,1032.0,534.0,228.0,923.0,2295.0
18,1800,1267.0,10,16,18,100,100,5.0,1032.0,534.0,305.0,923.0,2372.0
19,1900,1268.0,9,0,9,100,100,0.0,1032.0,534.0,228.0,903.0,2275.0
20,2000,1198.0,9,0,0,100,100,3.0,1032.0,534.0,228.0,903.0,2275.0
21,2100,1266.0,23,9,9,100,100,7.0,1032.0,534.0,228.0,903.0,2275.0
22,2200,1252.0,0,18,25,100,100,15.0,1032.0,534.0,228.0,942.0,2314.0
23,2300,1268.0,9,9,9,100,100,0.0,1032.0,534.0,228.0,980.0,2428.0
24,2400,1268.0,9,8,0,100,100,3.0,1032.0,534.0,228.0,961.0,2409.0
25,2500,1162.0,0,0,0,100,100,0.0,1032.0,534.0,305.0,942.0,2391.0
26,2600,1243.0,8,0,0,100,100,2.0,1032.0,534.0,305.0,942.0,2391.0
27,2700,1249.0,0,0,16,91,91,1.0,1032.0,534.0,305.0,942.0,2391.0
28,2800,1248.0,0,9,0,100,100,0.0,1032.0,534.0,228.0,923.0,2295.0
29,2900,1248.0,8,16,0,100,100,0.0,1032.0,534.0,228.0,923.0,2295.0
30,3000,1248.0,0,9,9,80,80,99.0,1032.0,457.0,534.0,1019.0,2696.0
31,3100,1247.0,0,0,0,83,83,0.0,1032.0,457.0,762.0,1096.0,3001.0
32,3200,1266.0,16,9,0,63,63,1.0,1032.0,457.0,991.0,1211.0,3345.0
33,3300,1250.0,0,0,0,72,72,10.0,1032.0,457.0,1220.0,1269.0,3632.0
34,3400,1268.0,9,0,0,72,72,78.0,1032.0,457.0,1448.0,1346.0,4013.0
35,3500,1247.0,0,0,0,72,72,31.0,1032.0,457.0,1525.0,1384.0,4128.0
36,3600,1312.0,16,0,0,70,70,19.0,1032.0,457.0,1525.0,1403.0,4166.0
37,3700,1258.0,0,16,8,66,66,83.0,1032.0,457.0,1677.0,1442.0,4357.0
38,3800,1267.0,9,0,0,72,72,8.0,1032.0,457.0,1677.0,1461.0,4376.0
39,3900,1250.0,0,0,0,63,63,99.0,1032.0,457.0,1753.0,1480.0,4471.0
40,4000,1250.0,9,0,0,80,80,0.0,1032.0,457.0,1753.0,1480.0,4471.0
41,4100,1250.0,9,8,63,0,63,37.0,1032.0,457.0,1830.0,1500.0,4568.0
42,4200,1267.0,0,0,80,0,80,0.0,1032.0,457.0,1830.0,1480.0,4548.0
43,4300,1249.0,8,0,66,9,66,67.0,1032.0,457.0,1906.0,1519.0,4663.0
44,4400,1252.0,9,0,72,0,72,0.0,1032.0,457.0,1830.0,1500.0,4549.0
45,4500,1246.0,0,0,60,0,60,79.0,1032.0,457.0,1906.0,1519.0,4644.0
46,4600,1246.0,16,8,41,45,45,11.0,1032.0,457.0,1830.0,1500.0,4549.0
47,4700,1266.0,8,0,0,63,63,98.0,1032.0,457.0,1906.0,1538.0,4663.0
48,4800,1246.0,0,0,0,80,80,0.0,1032.0,457.0,1830.0,1500.0,4549.0
49,4900,1252.0,9,9,0,54,54,99.0,1032.0,457.0,1982.0,1538.0,4739.0
50,5000,1246.0,9,8,50,36,50,0.0,1032.0,457.0,1830.0,1500.0,4549.0
51,5100,1251.0,15,0,58,0,58,99.0,1032.0,457.0,1982.0,1557.0,4758.0
52,5200,1249.0,0,0,80,0,80,0.0,1032.0,457.0,1830.0,1500.0,4568.0
53,5300,1160.0,0,0,60,0,60,97.0,1032.0,381.0,1982.0,1557.0,4701.0
54,5400,1250.0,0,8,81,0,81,0.0,1032.0,457.0,1830.0,1500.0,4568.0
55,5500,1267.0,9,0,58,0,58,99.0,1032.0,457.0,1982.0,1557.0,4777.0
56,5600,1252.0,0,0,81,0,81,53.0,1032.0,457.0,1906.0,1519.0,4663.0
57,5700,1267.0,8,0,60,0,60,41.0,1032.0,457.0,1906.0,1538.0,4682.0
58,5800,1249.0,0,0,72,0,72,0.0,1032.0,457.0,1830.0,1519.0,4587.0
59,5900,1266.0,16,8,80,0,80,0.0,1032.0,457.0,1830.0,1500.0,4568.0
60,6000,1251.0,0,0,66,0,66,45.0,1032.0,457.0,1906.0,1519.0,4663.0
61,6100,1267.0,16,8,72,0,72,0.0,1032.0,457.0,1830.0,1519.0,4568.0
62,6200,1250.0,9,0,70,0,70,89.0,1032.0,457.0,1906.0,1538.0,4663.0
63,6300,1250.0,9,0,75,9,75,0.0,1032.0,457.0,1753.0,1500.0,4472.0
64,6400,1253.0,8,0,63,8,63,99.0,1032.0,457.0,1906.0,1538.0,4663.0
65,6500,1249.0,9,0,81,0,81,0.0,1032.0,457.0,1753.0,1500.0,4472.0
66,6600,1266.0,9,0,63,0,63,78.0,1032.0,457.0,1982.0,1557.0,4758.0
67,6700,1258.0,0,0,75,0,75,0.0,1032.0,457.0,1753.0,1519.0,4491.0
68,6800,1266.0,0,0,60,0,60,26.0,1032.0,457.0,1906.0,1557.0,4682.0
69,6900,1243.0,16,0,80,0,80,0.0,1032.0,457.0,1830.0,1519.0,4568.0
70,7000,1266.0,0,8,63,0,63,99.0,1032.0,457.0,1982.0,1557.0,4758.0
71,7100,1252.0,0,0,75,0,75,0.0,1032.0,457.0,1830.0,1519.0,4568.0
72,7200,1267.0,0,0,63,0,63,89.0,1032.0,457.0,1982.0,1577.0,4778.0
73,7300,1251.0,15,8,80,8,80,0.0,1032.0,457.0,1906.0,1519.0,4644.0
74,7400,1265.0,0,0,61,0,61,76.0,1032.0,457.0,1982.0,1577.0,4778.0
75,7500,1252.0,9,9,77,8,77,0.0,1032.0,457.0,1906.0,1519.0,4644.0
76,7600,1267.0,16,0,66,0,66,27.0,1032.0,457.0,1906.0,1557.0,4682.0
77,7700,1251.0,8,0,72,0,72,0.0,1032.0,457.0,1830.0,1519.0,4568.0
78,7800,1267.0,0,0,70,0,70,3.0,1032.0,457.0,1906.0,1538.0,4663.0
