Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1113.0,9,100,0,0,100,0.0,1236.0,457.0,686.0,1057.0,2924.0
1,100,1111.0,0,100,0,0,100,0.0,1236.0,381.0,534.0,1019.0,2658.0
2,200,1113.0,0,100,0,0,100,0.0,1236.0,381.0,457.0,961.0,2504.0
3,300,1058.0,16,81,16,0,81,7.0,1236.0,381.0,457.0,942.0,2485.0
4,400,1114.0,16,100,0,9,100,0.0,1236.0,381.0,381.0,942.0,2409.0
5,500,1114.0,0,100,0,8,100,0.0,1236.0,381.0,381.0,961.0,2428.0
6,600,1112.0,0,100,0,0,100,0.0,1236.0,381.0,305.0,961.0,2352.0
7,700,1109.0,16,91,9,0,91,0.0,1236.0,381.0,305.0,942.0,2333.0
8,800,1052.0,0,100,0,0,100,1.0,1236.0,381.0,305.0,923.0,2314.0
9,900,1114.0,8,100,25,0,100,4.0,1236.0,458.0,305.0,903.0,2276.0
10,1000,1059.0,0,91,10,0,91,1.0,1236.0,458.0,305.0,903.0,2276.0
11,1100,1113.0,0,44,8,50,50,2.0,1236.0,458.0,305.0,903.0,2276.0
12,1200,1048.0,100,18,0,9,100,0.0,1236.0,458.0,305.0,903.0,2276.0
13,1300,1113.0,100,16,15,0,100,0.0,1236.0,458.0,305.0,884.0,2257.0
14,1400,1051.0,91,27,0,0,91,0.0,1236.0,458.0,305.0,884.0,2257.0
15,1500,1056.0,100,25,0,0,100,0.0,1236.0,458.0,305.0,884.0,2257.0
16,1600,1113.0,100,0,9,9,100,2.0,1236.0,458.0,305.0,884.0,2257.0
17,1700,1113.0,100,0,0,16,100,2.0,1236.0,458.0,305.0,884.0,2257.0
18,1800,1055.0,100,8,9,9,100,1.0,1236.0,458.0,305.0,884.0,2257.0
19,1900,1114.0,100,10,8,9,100,12.0,1236.0,458.0,305.0,903.0,2276.0
20,2000,1113.0,100,18,0,0,100,2.0,1236.0,458.0,305.0,903.0,2276.0
21,2100,1050.0,100,23,25,18,100,4.0,1236.0,458.0,381.0,903.0,2352.0
22,2200,1112.0,100,0,9,0,100,0.0,1236.0,458.0,305.0,884.0,2257.0
23,2300,1061.0,100,18,0,0,100,0.0,1236.0,458.0,305.0,884.0,2257.0
24,2400,1054.0,100,9,16,16,100,8.0,1236.0,458.0,305.0,884.0,2257.0
25,2500,1067.0,100,10,18,10,100,12.0,1236.0,458.0,305.0,942.0,2391.0
26,2600,1112.0,50,54,8,9,54,0.0,1236.0,458.0,305.0,961.0,2410.0
27,2700,1113.0,16,16,91,0,91,0.0,1236.0,458.0,305.0,942.0,2391.0
28,2800,1056.0,0,40,55,9,55,1.0,1236.0,458.0,305.0,942.0,2315.0
29,2900,1056.0,70,36,0,8,70,0.0,1236.0,458.0,305.0,923.0,2315.0
30,3000,1054.0,100,0,0,0,100,1.0,1236.0,458.0,305.0,923.0,2315.0
31,3100,1054.0,91,9,9,9,91,0.0,1236.0,458.0,305.0,923.0,2315.0
32,3200,1058.0,100,0,9,0,100,3.0,1236.0,458.0,305.0,903.0,2314.0
33,3300,1057.0,100,18,0,9,100,0.0,1236.0,458.0,305.0,903.0,2295.0
34,3400,1113.0,83,8,0,8,83,48.0,1236.0,457.0,610.0,1000.0,2772.0
35,3500,1113.0,83,8,0,0,83,0.0,1236.0,457.0,915.0,1076.0,3249.0
36,3600,1113.0,70,0,8,0,70,82.0,1236.0,381.0,1296.0,1211.0,3824.0
37,3700,1058.0,83,8,0,8,83,43.0,1236.0,381.0,1448.0,1250.0,4015.0
38,3800,1113.0,80,0,8,0,80,0.0,1236.0,381.0,1448.0,1288.0,4149.0
39,3900,1055.0,63,0,9,9,63,76.0,1236.0,381.0,1830.0,1384.0,4741.0
40,4000,1112.0,63,36,9,8,63,5.0,1236.0,381.0,1753.0,1365.0,4587.0
41,4100,1113.0,0,75,0,0,75,24.0,1236.0,381.0,1906.0,1403.0,4855.0
42,4200,1113.0,0,70,0,8,70,92.0,1236.0,381.0,2058.0,1423.0,5047.0
43,4300,1113.0,45,50,0,0,50,0.0,1236.0,381.0,1982.0,1403.0,4854.0
44,4400,1056.0,69,0,8,0,69,98.0,1236.0,381.0,2286.0,1480.0,5159.0
45,4500,1113.0,80,9,9,8,80,0.0,1236.0,381.0,2135.0,1442.0,4912.0
46,4600,1113.0,81,0,8,8,81,30.0,1236.0,381.0,2211.0,1461.0,4968.0
47,4700,1053.0,75,0,0,9,75,86.0,1236.0,381.0,2210.0,1480.0,4948.0
48,4800,1113.0,81,0,9,9,81,0.0,1236.0,381.0,2135.0,1461.0,4835.0
49,4900,1050.0,66,15,8,8,66,84.0,1236.0,381.0,2362.0,1500.0,5101.0
50,5000,1113.0,81,0,0,0,81,0.0,1236.0,381.0,2135.0,1461.0,4969.0
51,5100,1113.0,72,0,0,0,72,76.0,1236.0,381.0,2286.0,1519.0,5294.0
52,5200,1113.0,81,8,8,0,81,0.0,1236.0,381.0,2210.0,1480.0,5256.0
53,5300,1113.0,76,63,58,58,76,0.0,1236.0,457.0,2134.0,1500.0,5333.0
54,5400,1113.0,81,63,50,63,81,89.0,1236.0,457.0,2286.0,1538.0,5562.0
55,5500,1114.0,81,100,0,0,100,0.0,1236.0,533.0,2134.0,1500.0,5486.0
56,5600,1112.0,75,58,9,30,75,60.0,1236.0,533.0,2362.0,1557.0,5810.0
57,5700,1113.0,80,0,0,0,80,0.0,1236.0,457.0,2210.0,1519.0,5409.0
58,5800,1113.0,75,0,0,0,75,0.0,1236.0,457.0,2210.0,1519.0,5313.0
59,5900,1095.0,70,9,9,0,70,82.0,1236.0,457.0,2286.0,1519.0,5293.0
