Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,2035.0,0,0,9,100,100,0.0,854.0,915.0,610.0,1173.0,3403.0
1,100,652.0,9,0,0,90,90,0.0,854.0,915.0,534.0,1096.0,3250.0
2,200,2034.0,18,9,66,36,66,0.0,854.0,992.0,457.0,1076.0,3230.0
3,300,2023.0,0,0,100,0,100,0.0,854.0,992.0,381.0,1057.0,3116.0
4,400,1993.0,0,33,80,0,80,7.0,854.0,992.0,381.0,1038.0,3097.0
5,500,2035.0,0,45,63,0,63,0.0,854.0,992.0,305.0,1019.0,3002.0
6,600,1991.0,0,0,100,16,100,0.0,854.0,992.0,305.0,980.0,2963.0
7,700,1990.0,9,9,90,18,90,4.0,854.0,992.0,305.0,961.0,2944.0
8,800,1995.0,0,0,100,9,100,3.0,854.0,1068.0,228.0,961.0,2943.0
9,900,1994.0,0,0,100,0,100,0.0,854.0,1068.0,228.0,961.0,2943.0
10,1000,2024.0,0,0,100,0,100,9.0,854.0,1068.0,228.0,942.0,2924.0
11,1100,2035.0,0,0,100,10,100,0.0,854.0,1068.0,228.0,942.0,2924.0
12,1200,2034.0,23,9,100,18,100,14.0,854.0,1068.0,228.0,961.0,2943.0
13,1300,2021.0,9,0,100,0,100,0.0,854.0,1144.0,228.0,942.0,3000.0
14,1400,2035.0,0,9,100,9,100,9.0,854.0,1144.0,228.0,942.0,3000.0
15,1500,2034.0,10,16,100,0,100,5.0,854.0,1144.0,228.0,961.0,3019.0
16,1600,1993.0,9,18,100,16,100,2.0,854.0,1144.0,305.0,1019.0,3154.0
17,1700,1991.0,9,10,81,9,81,2.0,854.0,1144.0,228.0,1000.0,3058.0
18,1800,2035.0,16,0,100,8,100,2.0,854.0,1144.0,228.0,980.0,3038.0
19,1900,1997.0,0,0,100,0,100,2.0,854.0,1068.0,228.0,980.0,2962.0
20,2000,1991.0,0,0,90,0,90,3.0,854.0,1068.0,228.0,961.0,2943.0
21,2100,1995.0,0,8,77,16,77,99.0,854.0,1068.0,457.0,1038.0,3249.0
22,2200,2063.0,0,0,61,0,61,70.0,854.0,992.0,762.0,1173.0,3613.0
23,2300,2029.0,16,16,63,0,63,8.0,854.0,915.0,991.0,1250.0,3842.0
24,2400,1963.0,0,40,0,0,40,71.0,854.0,839.0,1220.0,1346.0,4167.0
25,2500,345.0,9,54,0,0,54,65.0,854.0,839.0,1448.0,1442.0,4491.0
26,2600,2071.0,0,58,0,0,58,4.0,854.0,839.0,1448.0,1461.0,4510.0
27,2700,2029.0,9,63,0,0,63,0.0,854.0,839.0,1525.0,1480.0,4606.0
28,2800,1960.0,0,9,45,8,45,98.0,854.0,762.0,1677.0,1538.0,4739.0
29,2900,499.0,9,0,50,0,50,99.0,854.0,762.0,1753.0,1596.0,4873.0
30,3000,2071.0,8,0,63,0,63,62.0,854.0,762.0,1753.0,1596.0,4873.0
31,3100,2028.0,0,8,63,9,63,20.0,854.0,762.0,1677.0,1577.0,4778.0
32,3200,2035.0,16,0,50,0,50,81.0,854.0,762.0,1830.0,1615.0,5045.0
33,3300,1613.0,9,36,20,0,36,27.0,854.0,762.0,1753.0,1615.0,4968.0
34,3400,2030.0,9,63,0,0,63,0.0,854.0,762.0,1753.0,1596.0,4949.0
35,3500,2030.0,0,54,0,0,54,82.0,854.0,762.0,1830.0,1615.0,5045.0
36,3600,1553.0,0,45,9,9,45,99.0,854.0,686.0,1906.0,1634.0,5064.0
37,3700,498.0,36,27,0,0,36,89.0,854.0,686.0,1830.0,1634.0,4988.0
38,3800,2026.0,9,70,8,8,70,0.0,854.0,762.0,1753.0,1615.0,4968.0
39,3900,2029.0,9,50,0,9,50,34.0,854.0,762.0,1829.0,1634.0,5063.0
40,4000,1683.0,0,50,0,0,50,99.0,854.0,686.0,1905.0,1653.0,5082.0
41,4100,345.0,9,54,0,0,54,65.0,854.0,686.0,1905.0,1673.0,5102.0
42,4200,2035.0,0,61,0,0,61,13.0,854.0,762.0,1829.0,1634.0,5063.0
43,4300,2028.0,9,60,0,0,60,73.0,854.0,686.0,1829.0,1653.0,5006.0
44,4400,1681.0,0,45,0,0,45,99.0,854.0,686.0,1905.0,1653.0,5082.0
45,4500,2072.0,0,63,0,0,63,7.0,854.0,762.0,1830.0,1634.0,5064.0
