Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
64,6400,2024.0,0,0,63,0,63,14.0,1122.0,762.0,2515.0,1692.0,5807.0
65,6500,1994.0,9,8,66,0,66,21.0,1122.0,762.0,2591.0,1692.0,5883.0
66,6600,2018.0,9,0,50,0,50,87.0,1122.0,762.0,2591.0,1711.0,5902.0
67,6700,1958.0,0,0,54,0,54,82.0,1122.0,762.0,2667.0,1730.0,5997.0
68,6800,1802.0,8,9,66,0,66,76.0,1122.0,762.0,2667.0,1730.0,5997.0
69,6900,345.0,9,0,54,0,54,86.0,1122.0,762.0,2744.0,1750.0,6094.0
70,7000,345.0,0,0,60,0,60,99.0,1122.0,762.0,2744.0,1750.0,6094.0
71,7100,345.0,9,0,58,9,58,99.0,1122.0,762.0,2744.0,1750.0,6094.0
72,7200,345.0,8,0,66,8,66,43.0,1122.0,762.0,2744.0,1750.0,6094.0
73,7300,345.0,0,0,54,0,54,40.0,1122.0,762.0,2667.0,1730.0,5997.0
74,7400,346.0,9,0,63,0,63,34.0,1122.0,762.0,2667.0,1711.0,5978.0
75,7500,499.0,9,0,66,0,66,35.0,1122.0,762.0,2667.0,1711.0,5978.0
76,7600,2072.0,0,0,60,0,60,0.0,1122.0,762.0,2591.0,1692.0,5883.0
77,7700,2021.0,9,0,66,0,66,0.0,1122.0,762.0,2591.0,1692.0,5883.0
78,7800,1993.0,9,8,63,9,63,67.0,1122.0,762.0,2591.0,1692.0,5883.0
79,7900,2027.0,0,0,54,0,54,67.0,1122.0,762.0,2667.0,1711.0,5978.0
80,8000,1959.0,0,0,54,0,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
81,8100,1960.0,0,0,60,0,60,99.0,1122.0,762.0,2744.0,1730.0,6074.0
82,8200,345.0,16,8,58,8,58,99.0,1122.0,762.0,2744.0,1750.0,6094.0
83,8300,2069.0,9,0,60,0,60,34.0,1122.0,762.0,2667.0,1750.0,6017.0
84,8400,498.0,0,0,63,0,63,36.0,1122.0,838.0,2591.0,1730.0,5997.0
85,8500,2064.0,30,8,33,0,33,52.0,1122.0,838.0,2591.0,1730.0,5997.0
86,8600,498.0,23,0,63,0,63,0.0,1122.0,838.0,2591.0,1730.0,5997.0
87,8700,806.0,9,0,63,0,63,0.0,1122.0,762.0,2591.0,1730.0,5940.0
88,8800,2074.0,0,0,58,0,58,0.0,1122.0,838.0,2591.0,1711.0,5997.0
89,8900,2034.0,8,0,72,0,72,20.0,1122.0,838.0,2591.0,1692.0,5978.0
90,9000,2027.0,0,0,54,0,54,0.0,1122.0,838.0,2591.0,1711.0,5997.0
91,9100,1991.0,16,0,63,9,63,91.0,1122.0,838.0,2667.0,1692.0,6054.0
92,9200,1997.0,9,0,54,0,54,73.0,1122.0,762.0,2667.0,1711.0,5997.0
93,9300,1960.0,0,0,54,0,54,99.0,1122.0,762.0,2744.0,1730.0,6093.0
94,9400,2034.0,9,0,66,0,66,98.0,1122.0,762.0,2667.0,1750.0,6055.0
95,9500,1880.0,9,0,54,8,54,99.0,1122.0,762.0,2667.0,1730.0,6016.0
96,9600,345.0,0,0,60,0,60,56.0,1122.0,762.0,2744.0,1750.0,6113.0
97,9700,2035.0,16,0,54,0,54,80.0,1122.0,762.0,2744.0,1750.0,6113.0
98,9800,344.0,0,0,63,8,63,69.0,1122.0,838.0,2667.0,1750.0,6112.0
99,9900,345.0,9,0,58,0,58,65.0,1122.0,838.0,2667.0,1730.0,6092.0
100,10000,345.0,9,0,60,0,60,0.0,1122.0,762.0,2667.0,1730.0,6016.0
101,10100,499.0,0,0,66,0,66,0.0,1122.0,762.0,2591.0,1730.0,5940.0
102,10200,346.0,9,8,54,0,54,17.0,1122.0,762.0,2667.0,1750.0,6036.0
103,10300,2060.0,15,0,60,8,60,45.0,1122.0,762.0,2667.0,1750.0,6036.0
104,10400,2069.0,9,15,54,15,54,70.0,1122.0,762.0,2667.0,1730.0,6016.0
105,10500,2073.0,0,0,72,0,72,0.0,1122.0,762.0,2591.0,1711.0,5902.0
106,10600,1994.0,9,0,63,0,63,0.0,1122.0,762.0,2515.0,1692.0,5807.0
107,10700,2024.0,9,0,50,0,50,44.0,1122.0,762.0,2591.0,1711.0,5902.0
108,10800,1994.0,0,9,63,0,63,47.0,1122.0,762.0,2591.0,1711.0,5902.0
109,10900,2035.0,0,9,54,8,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
