RAM 2073/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1419,off,off,8%@1420,100%@1420,18%@1421] EMC_FREQ 7%@1600 GR3D_FREQ 5%@1122 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46C BCPU@48C thermal@47.4C Tdiode@46C VDD_SYS_GPU 305/419 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 0/0 VDD_IN 3129/3335 VDD_SYS_CPU 610/553 VDD_SYS_DDR 923/986
RAM 2093/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1319,off,off,0%@1319,100%@1323,25%@1326] EMC_FREQ 6%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46C BCPU@48C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/410 VDD_SYS_SOC 610/680 VDD_4V0_WIFI 0/0 VDD_IN 3129/3319 VDD_SYS_CPU 610/557 VDD_SYS_DDR 903/980
RAM 2122/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@1420,off,off,58%@1421,45%@1420,0%@1420] EMC_FREQ 6%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/402 VDD_SYS_SOC 610/675 VDD_4V0_WIFI 19/1 VDD_IN 3129/3305 VDD_SYS_CPU 610/561 VDD_SYS_DDR 903/974
RAM 2141/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1419,off,off,100%@1422,10%@1423,0%@1421] EMC_FREQ 6%@1600 GR3D_FREQ 2%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@45.75C VDD_SYS_GPU 305/396 VDD_SYS_SOC 610/670 VDD_4V0_WIFI 19/2 VDD_IN 3129/3294 VDD_SYS_CPU 610/564 VDD_SYS_DDR 903/970
RAM 2148/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1421,off,off,100%@1421,9%@1419,0%@1422] EMC_FREQ 5%@1600 GR3D_FREQ 2%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@45.75C VDD_SYS_GPU 305/390 VDD_SYS_SOC 610/667 VDD_4V0_WIFI 19/3 VDD_IN 3129/3283 VDD_SYS_CPU 610/567 VDD_SYS_DDR 903/965
RAM 2154/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [27%@1419,off,off,100%@1421,9%@1421,9%@1421] EMC_FREQ 5%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/385 VDD_SYS_SOC 686/668 VDD_4V0_WIFI 19/4 VDD_IN 3167/3276 VDD_SYS_CPU 610/569 VDD_SYS_DDR 923/963
RAM 2161/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1421,off,off,100%@1420,9%@1420,10%@1420] EMC_FREQ 5%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/381 VDD_SYS_SOC 610/664 VDD_4V0_WIFI 19/5 VDD_IN 3129/3268 VDD_SYS_CPU 610/572 VDD_SYS_DDR 923/961
RAM 2167/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1420,off,off,100%@1413,9%@1418,0%@1421] EMC_FREQ 5%@1600 GR3D_FREQ 5%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/377 VDD_SYS_SOC 610/662 VDD_4V0_WIFI 19/6 VDD_IN 3090/3259 VDD_SYS_CPU 610/574 VDD_SYS_DDR 903/958
RAM 2173/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1422,off,off,100%@1421,0%@1419,16%@1420] EMC_FREQ 5%@1600 GR3D_FREQ 8%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@47.5C thermal@47.2C Tdiode@45.75C VDD_SYS_GPU 305/373 VDD_SYS_SOC 610/659 VDD_4V0_WIFI 19/6 VDD_IN 3090/3250 VDD_SYS_CPU 610/575 VDD_SYS_DDR 903/955
RAM 2177/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1320,off,off,100%@1319,23%@1321,0%@1317] EMC_FREQ 5%@1600 GR3D_FREQ 19%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46.5C BCPU@47.5C thermal@47.2C Tdiode@45.75C VDD_SYS_GPU 305/370 VDD_SYS_SOC 686/660 VDD_4V0_WIFI 19/7 VDD_IN 3205/3248 VDD_SYS_CPU 610/577 VDD_SYS_DDR 942/954
