Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1991.0,9,9,100,0,100,0.0,1236.0,991.0,1067.0,1211.0,4107.0
1,100,499.0,0,0,90,0,90,0.0,1236.0,992.0,839.0,1134.0,3708.0
2,200,2022.0,0,100,18,8,100,0.0,1236.0,992.0,762.0,1096.0,3593.0
3,300,2014.0,8,100,0,0,100,0.0,1236.0,992.0,610.0,1076.0,3402.0
4,400,2035.0,0,63,0,30,63,0.0,1236.0,992.0,534.0,1057.0,3307.0
5,500,2034.0,10,0,0,100,100,0.0,1236.0,992.0,457.0,1038.0,3192.0
6,600,2016.0,0,0,8,90,90,4.0,1236.0,992.0,457.0,1019.0,3173.0
7,700,2035.0,18,0,0,100,100,0.0,1236.0,1068.0,381.0,980.0,3134.0
8,800,1994.0,10,9,0,100,100,2.0,1236.0,1068.0,381.0,980.0,3134.0
9,900,1990.0,23,8,8,100,100,2.0,1236.0,1068.0,381.0,961.0,3115.0
10,1000,1992.0,18,0,0,100,100,1.0,1236.0,1068.0,381.0,961.0,3115.0
11,1100,1961.0,25,0,0,100,100,4.0,1236.0,1068.0,381.0,942.0,3096.0
12,1200,2018.0,10,25,10,100,100,12.0,1236.0,1068.0,381.0,961.0,3115.0
13,1300,2036.0,0,9,18,100,100,7.0,1236.0,1144.0,381.0,961.0,3172.0
14,1400,2018.0,9,9,0,100,100,5.0,1236.0,1144.0,381.0,942.0,3153.0
15,1500,2025.0,9,9,10,100,100,3.0,1236.0,1144.0,381.0,961.0,3172.0
16,1600,1991.0,0,18,9,100,100,2.0,1236.0,1144.0,457.0,1019.0,3306.0
17,1700,1991.0,0,9,0,91,91,3.0,1236.0,1144.0,381.0,1019.0,3230.0
18,1800,2034.0,0,9,8,100,100,1.0,1236.0,1144.0,381.0,1000.0,3211.0
19,1900,1994.0,0,9,0,100,100,0.0,1236.0,1144.0,381.0,980.0,3191.0
20,2000,1996.0,16,0,0,100,100,2.0,1236.0,1068.0,381.0,980.0,3115.0
21,2100,1989.0,9,9,0,81,81,42.0,1236.0,1068.0,762.0,1057.0,3573.0
22,2200,1991.0,0,0,0,58,58,99.0,1236.0,991.0,1372.0,1211.0,4260.0
23,2300,2034.0,9,0,8,60,60,99.0,1236.0,915.0,1830.0,1346.0,4853.0
24,2400,1882.0,16,9,0,63,63,84.0,1236.0,915.0,2210.0,1442.0,5329.0
25,2500,652.0,0,0,0,66,66,85.0,1236.0,915.0,2362.0,1519.0,5558.0
26,2600,2065.0,0,0,0,58,58,99.0,1236.0,838.0,2591.0,1596.0,5863.0
27,2700,652.0,30,0,8,36,36,32.0,1236.0,838.0,2744.0,1634.0,6054.0
28,2800,2054.0,63,9,9,0,63,48.0,1236.0,838.0,2744.0,1653.0,6073.0
29,2900,2048.0,16,0,0,72,72,21.0,1236.0,838.0,2744.0,1634.0,6054.0
30,3000,2024.0,0,0,0,63,63,0.0,1236.0,838.0,2742.0,1653.0,6071.0
31,3100,2032.0,9,0,0,63,63,0.0,1236.0,838.0,2819.0,1673.0,6168.0
32,3200,2024.0,16,0,15,63,63,28.0,1236.0,838.0,2895.0,1692.0,6263.0
33,3300,2022.0,0,0,0,63,63,2.0,1236.0,838.0,2971.0,1692.0,6339.0
34,3400,2024.0,0,8,8,61,61,74.0,1236.0,838.0,3047.0,1711.0,6434.0
35,3500,2023.0,9,0,0,63,63,41.0,1236.0,838.0,3047.0,1730.0,6453.0
36,3600,1996.0,9,8,18,45,45,99.0,1236.0,838.0,3047.0,1730.0,6453.0
37,3700,1963.0,0,0,18,45,45,90.0,1236.0,762.0,3123.0,1730.0,6453.0
38,3800,1961.0,9,16,0,66,66,76.0,1236.0,762.0,3123.0,1750.0,6492.0
39,3900,1881.0,16,0,0,63,63,76.0,1236.0,838.0,3200.0,1750.0,6645.0
40,4000,652.0,9,0,0,60,60,82.0,1236.0,762.0,3123.0,1769.0,6607.0
41,4100,2073.0,0,8,0,66,66,87.0,1236.0,762.0,3123.0,1750.0,6723.0
42,4200,345.0,9,0,0,58,58,6.0,1236.0,762.0,3123.0,1750.0,6703.0
