Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1550.0,8,9,0,100,100,0.0,1122.0,610.0,762.0,1153.0,3211.0
1,100,1574.0,0,9,0,100,100,0.0,1122.0,610.0,686.0,1076.0,3058.0
2,200,1578.0,45,0,16,45,45,6.0,1122.0,610.0,610.0,1038.0,2944.0
3,300,1575.0,0,91,9,0,91,0.0,1122.0,610.0,457.0,1038.0,2791.0
4,400,1574.0,9,100,0,0,100,0.0,1122.0,610.0,457.0,1019.0,2772.0
5,500,1549.0,36,70,0,9,70,1.0,1122.0,610.0,381.0,1000.0,2677.0
6,600,1547.0,100,0,0,0,100,2.0,1122.0,610.0,381.0,980.0,2657.0
7,700,1554.0,100,10,0,0,100,1.0,1122.0,610.0,305.0,961.0,2562.0
8,800,1547.0,100,0,0,18,100,7.0,1122.0,610.0,305.0,942.0,2543.0
9,900,1548.0,81,27,9,0,81,2.0,1122.0,610.0,305.0,942.0,2543.0
10,1000,1549.0,100,0,0,8,100,0.0,1122.0,687.0,305.0,942.0,2620.0
11,1100,1543.0,100,9,0,10,100,1.0,1122.0,686.0,305.0,923.0,2524.0
12,1200,1550.0,100,8,9,0,100,1.0,1122.0,687.0,305.0,923.0,2525.0
13,1300,1551.0,100,0,0,18,100,2.0,1122.0,687.0,305.0,923.0,2525.0
14,1400,1547.0,100,8,0,0,100,0.0,1122.0,686.0,305.0,923.0,2524.0
15,1500,1584.0,100,10,16,9,100,4.0,1122.0,686.0,305.0,923.0,2619.0
16,1600,1550.0,100,16,10,25,100,0.0,1122.0,686.0,305.0,923.0,2543.0
17,1700,1574.0,100,9,9,0,100,5.0,1122.0,686.0,305.0,923.0,2543.0
18,1800,1546.0,100,0,9,9,100,9.0,1122.0,686.0,305.0,923.0,2543.0
19,1900,1574.0,63,33,25,20,63,15.0,1122.0,686.0,381.0,980.0,2752.0
20,2000,1498.0,8,54,0,58,58,1.0,1122.0,686.0,305.0,980.0,2676.0
21,2100,1574.0,0,81,10,10,81,1.0,1122.0,686.0,305.0,961.0,2657.0
22,2200,1574.0,0,0,100,9,100,2.0,1122.0,686.0,305.0,961.0,2657.0
23,2300,1546.0,16,0,92,9,92,1.0,1122.0,686.0,305.0,942.0,2638.0
24,2400,1575.0,0,72,22,0,72,0.0,1122.0,687.0,305.0,942.0,2563.0
25,2500,1574.0,0,100,9,0,100,2.0,1122.0,687.0,305.0,942.0,2639.0
26,2600,1615.0,9,63,0,0,63,23.0,1122.0,686.0,686.0,1096.0,3173.0
27,2700,1574.0,16,72,0,0,72,0.0,1122.0,610.0,991.0,1192.0,3498.0
28,2800,1573.0,9,60,9,9,60,99.0,1122.0,610.0,1372.0,1307.0,4070.0
29,2900,1611.0,0,60,0,0,60,76.0,1122.0,610.0,1601.0,1384.0,4376.0
30,3000,1574.0,9,72,8,0,72,0.0,1122.0,610.0,1677.0,1403.0,4471.0
31,3100,1554.0,0,66,0,0,66,62.0,1122.0,610.0,1906.0,1480.0,4777.0
32,3200,1607.0,0,63,0,0,63,35.0,1122.0,533.0,2058.0,1538.0,4891.0
33,3300,1574.0,36,36,0,0,36,0.0,1122.0,610.0,1982.0,1519.0,4873.0
34,3400,1546.0,63,9,0,0,63,97.0,1122.0,533.0,2058.0,1557.0,4910.0
35,3500,1595.0,60,0,0,8,60,76.0,1122.0,533.0,2210.0,1615.0,5120.0
36,3600,1574.0,72,23,0,0,72,0.0,1122.0,533.0,2134.0,1577.0,5006.0
37,3700,1575.0,60,0,0,0,60,45.0,1122.0,533.0,2210.0,1596.0,5101.0
38,3800,1611.0,58,0,9,0,58,99.0,1122.0,533.0,2362.0,1634.0,5367.0
39,3900,1606.0,80,0,0,0,80,0.0,1122.0,533.0,2210.0,1615.0,5120.0
40,4000,1548.0,66,0,0,0,66,0.0,1122.0,533.0,2210.0,1615.0,5120.0
41,4100,1502.0,60,0,0,0,60,99.0,1122.0,533.0,2286.0,1653.0,5310.0
42,4200,1597.0,66,0,0,8,66,63.0,1122.0,533.0,2286.0,1653.0,5310.0
43,4300,1560.0,72,0,16,0,72,0.0,1122.0,533.0,2210.0,1634.0,5139.0
44,4400,1548.0,54,0,0,0,54,75.0,1122.0,533.0,2362.0,1653.0,5386.0
45,4500,1616.0,72,0,0,16,72,20.0,1122.0,533.0,2362.0,1653.0,5386.0
46,4600,1573.0,72,0,9,0,72,0.0,1122.0,533.0,2210.0,1634.0,5215.0
47,4700,1574.0,58,0,0,0,58,99.0,1122.0,533.0,2362.0,1634.0,5367.0
48,4800,1575.0,72,0,0,0,72,14.0,1122.0,533.0,2286.0,1615.0,5272.0
49,4900,1573.0,66,9,0,0,66,27.0,1122.0,533.0,2286.0,1615.0,5272.0
